machine,file,case,ftype,d1,d2,sev_pct,phases,speed_rpm,torque_Nm,torque_pu,speed_rad_s,zf_ohm,rep,fs,fe0_Hz,rotation,t_on,t_off,fault_duration_s,n_pre,n_flt,Ifault_rms_flt,I1_pre,I1_flt,fe_Hz__pre,fe_Hz__flt,fe_Hz__rel,fe_Hz__auc,I1__pre,I1__flt,I1__rel,I1__auc,I2__pre,I2__flt,I2__rel,I2__auc,I2_I1__pre,I2_I1__flt,I2_I1__rel,I2_I1__auc,I0_I1__pre,I0_I1__flt,I0_I1__rel,I0_I1__auc,I_unbal_rms__pre,I_unbal_rms__flt,I_unbal_rms__rel,I_unbal_rms__auc,V1__pre,V1__flt,V1__rel,V1__auc,V2_V1__pre,V2_V1__flt,V2_V1__rel,V2_V1__auc,D2_D1__pre,D2_D1__flt,D2_D1__rel,D2_D1__auc,Id_std__pre,Id_std__flt,Id_std__rel,Id_std__auc,Iq_std__pre,Iq_std__flt,Iq_std__rel,Iq_std__auc,Id_2fe__pre,Id_2fe__flt,Id_2fe__rel,Id_2fe__auc,Iq_2fe__pre,Iq_2fe__flt,Iq_2fe__rel,Iq_2fe__auc,Id_1fe__pre,Id_1fe__flt,Id_1fe__rel,Id_1fe__auc,Iq_1fe__pre,Iq_1fe__flt,Iq_1fe__rel,Iq_1fe__auc,Vd_2fe__pre,Vd_2fe__flt,Vd_2fe__rel,Vd_2fe__auc,Vq_2fe__pre,Vq_2fe__flt,Vq_2fe__rel,Vq_2fe__auc,Vdconv_2fe__pre,Vdconv_2fe__flt,Vdconv_2fe__rel,Vdconv_2fe__auc,Vqconv_2fe__pre,Vqconv_2fe__flt,Vqconv_2fe__rel,Vqconv_2fe__auc,Te_std__pre,Te_std__flt,Te_std__rel,Te_std__auc,Te_2fe__pre,Te_2fe__flt,Te_2fe__rel,Te_2fe__auc,Te_1fe__pre,Te_1fe__flt,Te_1fe__rel,Te_1fe__auc,Ia_h3__pre,Ia_h3__flt,Ia_h3__rel,Ia_h3__auc,Ia_h5__pre,Ia_h5__flt,Ia_h5__rel,Ia_h5__auc,Ia_h7__pre,Ia_h7__flt,Ia_h7__rel,Ia_h7__auc,Ia_thd__pre,Ia_thd__flt,Ia_thd__rel,Ia_thd__auc,Spd_std__pre,Spd_std__flt,Spd_std__rel,Spd_std__auc,Vdc_std__pre,Vdc_std__flt,Vdc_std__rel,Vdc_std__auc,If_2fe__pre,If_2fe__flt,If_2fe__rel,If_2fe__auc,If_std__pre,If_std__flt,If_std__rel,If_std__auc
WFSG,FAULT_GER_TYPE_AB_POS_D09_D02_ZF_11.32_TRQ_0.4_SPD_150_ID_01.csv,PHASE_D02_D09,PHASE,D02,D09,27.290000000000003,BA,716,,0.4,150,11.32,1,3999.990429732112,23.872885483136088,1,0.5480011099731428,0.8245010909423769,0.2764999809692341,9,3,1.3671553560522682,1.739547808444022,1.7222920992913366,23.870733771778568,23.710689433450465,-0.006704625834222015,0.0,1.739547808444022,1.7222920992913366,-0.009919652146910537,0.0,0.021665166880750004,0.03444934611899924,0.5900798876194335,1.0,0.012454456929063745,0.020006737277524635,0.6063917833973855,1.0,0.007906736473150355,0.007969254130319646,0.007906885145544947,0.5185185185185185,0.017487945016523683,0.007991466633738419,-0.5430299771535426,0.0,75.31211638272733,74.4646025093175,-0.011253353565352724,0.0,0.006098854045543365,0.005981538938037768,-0.019235598463177378,0.2962962962962963,0.004972095772825921,0.008035048047077253,0.6160284142134465,1.0,0.12536782251134365,0.12176563780321277,-0.028732928721043594,0.0,0.1279938335034938,0.13003651668783203,0.015959231225639244,0.6666666666666666,0.022229884395386642,0.012076515166610124,-0.4567441309269085,0.0,0.021161634865763664,0.05726159942074904,1.7059156716379071,1.0,0.007992005836204878,0.011335748682187457,0.41838593646102806,0.7037037037037037,0.005883066504057361,0.00466573940224587,-0.20692050667316783,0.2962962962962963,0.45302408991173365,0.7087951893524574,0.5645860896504593,1.0,0.5035782836042799,0.23803254313892241,-0.5273176963961927,0.0,0.4111812205951812,0.22434348307358443,-0.4543926817745976,0.0,0.3124887836792405,0.8446558892905358,1.7029958622692436,1.0,0.6212453937102006,0.5538164062108916,-0.10853841039626831,0.07407407407407407,0.05430011077053698,0.08232620682875069,0.5161333128149079,0.7037037037037037,0.06924759656588315,0.03995584511984684,-0.42300026136167374,0.2222222222222222,0.0022513705981014338,0.01759242611071591,6.81409605577664,1.0,0.05443204652690289,0.056342913923482674,0.035105558554285585,0.8518518518518519,0.02742588665776973,0.029231702409038936,0.06584347750732132,0.8518518518518519,0.06313656144486315,0.06762561384156271,0.07110067913058304,1.0,0.00963694510788287,0.12216194516843498,11.676418076565406,1.0,0.2308060606554666,0.2384752931252079,0.03322803763454664,0.6666666666666666,0.0016867436754510322,0.005048293989956605,1.992923028809757,1.0,0.013401774240238858,0.014046266017978997,0.048090033915438625,1.0
WFSG,FAULT_GER_TYPE_AB_POS_D09_D02_ZF_11.32_TRQ_0.4_SPD_150_ID_02.csv,PHASE_D02_D09,PHASE,D02,D09,27.290000000000003,BA,716,,0.4,150,11.32,2,3999.992187550358,23.866709924227514,1,0.5520009915039026,0.8255015624267656,0.27350057092286306,9,3,1.0543633379254886,1.756629949239454,1.7354113712276753,23.883248226350744,23.7365659073641,-0.006141640265866705,0.0,1.756629949239454,1.7354113712276753,-0.012079139389013243,0.0,0.018973109757953383,0.02579759919809747,0.35969271918027634,1.0,0.010800900722649914,0.014866032079862743,0.37636966227159996,1.0,0.00874001613058246,0.007498172793481285,-0.1420870761045626,0.2222222222222222,0.01742737291245056,0.010353038255654383,-0.40593236240111047,0.0,75.38824386338162,74.66549278218173,-0.00958705288996592,0.0,0.006216829628944429,0.0054917145212119815,-0.11663744239611185,0.0,0.004357733084391408,0.005868912181305638,0.34678101380899007,1.0,0.1219078650808089,0.12038176569507784,-0.01251846535676314,0.2222222222222222,0.12479354288724027,0.12498011536035396,0.0014950490930629673,0.5925925925925926,0.020025808883984825,0.010616468315866753,-0.4698606993919219,0.0,0.017974503405412113,0.04339794115134843,1.414416697502827,1.0,0.007250583483366033,0.007691083963682672,0.06075379744640088,0.4444444444444444,0.004043544693764136,0.0026881587042126894,-0.33519747948914536,0.25925925925925924,0.4513736035723565,0.6158893937433934,0.36447809280159754,1.0,0.5256686571834599,0.23955908266833895,-0.5442774086020272,0.0,0.37189622653491206,0.19533430045574388,-0.4747612733913913,0.0,0.26455904291607024,0.6440269958802315,1.4343412675730958,1.0,0.6199520028388849,0.6315398719040116,0.01869155839817209,0.5185185185185185,0.07081221449123921,0.08761672308614765,0.2373108751878882,0.5185185185185185,0.05372471311496254,0.06412556235699994,0.19359524954151358,0.5555555555555556,0.002600929033781236,0.013920934717653865,4.352293175571799,1.0,0.048719126987755046,0.05255476516379564,0.07872961633743221,1.0,0.02583124309418633,0.027211412921488196,0.05343025197314226,1.0,0.05739448112931273,0.06252550566065052,0.089399266800188,1.0,0.010995837061596339,0.10087788946024497,8.174189185884485,1.0,0.2398032936740397,0.22245626890154457,-0.07233855926964305,0.1111111111111111,0.0012151010070360025,0.0036953293923632836,2.0411705454654387,1.0,0.013132989171737785,0.013615817852060133,0.03676456852347037,0.9259259259259259
WFSG,FAULT_GER_TYPE_AB_POS_D09_D02_ZF_11.32_TRQ_0.4_SPD_377_ID_01.csv,PHASE_D02_D09,PHASE,D02,D09,27.290000000000003,BA,1800,,0.4,377,11.32,1,3999.990429732112,60.00616235063333,1,0.5477511493652383,0.6722508469848627,0.12449969761962443,27,3,3.495824498182924,1.5608339798541846,1.5518824574719117,60.00992050797151,59.733102496499896,-0.004612870824163817,0.0,1.5608339798541846,1.5518824574719117,-0.005735089380299876,0.2222222222222222,0.05526080317707717,0.13558435761704812,1.45353577620982,1.0,0.035403375965334064,0.0873819016541318,1.4681799198950285,1.0,0.00923374787755893,0.009117843771828338,-0.012552227683439148,0.5679012345679012,0.04058195862414201,0.06977753229436062,0.7194224887127628,1.0,196.14432246985075,192.75415751925982,-0.017284033042108723,0.0,0.006619342239507764,0.006370689895511312,-0.03756450943303122,0.13580246913580246,0.0023117340119151683,0.007669315965103424,2.3175598600765226,1.0,0.20976400728901368,0.21005940522591793,0.0014082393863559775,0.4691358024691358,0.0869048408802226,0.16739785896768153,0.9262201883367944,1.0,0.05467411041994786,0.08784024433622911,0.6066149711725457,1.0,0.058726219848584074,0.20443115894149586,2.4810883361569678,1.0,0.048392793742873634,0.0468208639601169,-0.032482724413657516,0.5061728395061729,0.01023788052664869,0.011169078769609792,0.0909561545026082,0.6049382716049383,1.298385702317641,1.9784329083881733,0.523763628062629,1.0,1.614584530111944,0.8573565440775686,-0.4689924695251939,0.0,0.6207120411292131,1.0005586456402387,0.6119530141867399,1.0,0.5313940269112493,1.8507379531652344,2.4827978099842944,1.0,0.27730663849359033,0.3781222430068127,0.36355279866678203,1.0,0.08372493299876609,0.3470921788273831,3.1456250413780373,1.0,0.041129173316642065,0.030101027711167908,-0.2681343853077603,0.24691358024691357,0.00822791506339868,0.06356076917234517,6.725015229567807,1.0,0.07175111165738866,0.07918411981423358,0.10359432746265324,0.9876543209876543,0.04149641208188024,0.038752228462901404,-0.0661306238612641,0.18518518518518517,0.08945349330807824,0.11517093681694866,0.2874951280024295,1.0,0.004887084843918583,0.03223598087427582,5.596157403403749,1.0,0.22135915671678003,0.24027534670660425,0.08545474364101736,0.8888888888888888,0.001869559227011409,0.012945128597094886,5.924160738030412,1.0,0.014777498219359118,0.017298218522892744,0.17057828504634032,1.0
WFSG,FAULT_GER_TYPE_AB_POS_D09_D02_ZF_11.32_TRQ_0.4_SPD_377_ID_02.csv,PHASE_D02_D09,PHASE,D02,D09,27.290000000000003,BA,1800,,0.4,377,11.32,2,3999.9921875787795,60.008239344441265,1,0.547500622778319,0.6767509136718743,0.12925029089355533,27,3,2.7058596674347455,1.5960716052060067,1.5911061445272399,60.018396869755556,59.8557005025831,-0.0027107749566440695,0.012345679012345678,1.5960716052060067,1.5911061445272399,-0.003111051322867122,0.3333333333333333,0.05994194148599332,0.0994774329183402,0.659563078075894,1.0,0.0375544321320685,0.06252749121258118,0.6649830036755547,1.0,0.014120554594985088,0.012523734471982474,-0.11308480217694312,0.04938271604938271,0.05591093707810691,0.048407853562913404,-0.13419706245867044,0.16049382716049382,196.06996082299756,193.65967738816929,-0.01229297657178684,0.0,0.00626818965054408,0.00539228994958169,-0.13973726862051178,0.0,0.0023811998833863806,0.005470731600003914,1.2974684478078387,1.0,0.21449089907327135,0.21231886378693957,-0.010126468282413235,0.3333333333333333,0.08972186613242016,0.1394597907832656,0.5543567782845424,1.0,0.06692061656626115,0.0622830374680336,-0.06929970667015113,0.32098765432098764,0.057414407530147524,0.15316290115049977,1.6676736334878317,1.0,0.047533051796986955,0.051744378129065995,0.08859785292275277,0.5061728395061729,0.009635253937847364,0.010990023791317848,0.14060551618146105,0.5925925925925926,1.2507305232326817,1.6156459842438105,0.29176185775650176,1.0,1.5773850860674385,0.709024114840039,-0.5505066447612363,0.0,0.7597796824992864,0.7084324768518959,-0.06758170405200156,0.32098765432098764,0.5196376257414381,1.3858268274152132,1.666910090349721,1.0,0.267990716538625,0.3208131928199531,0.19710561979006044,0.9012345679012346,0.08021559583514458,0.24738767929758929,2.084034678318779,1.0,0.03549485637142419,0.019612917725232156,-0.44744338390894545,0.24691358024691357,0.005488679681910303,0.04510223053156818,7.217318762509859,1.0,0.07169122234618158,0.07484318489662513,0.04396580846708671,0.8271604938271605,0.03763357556515086,0.03940942608675456,0.04718792979235699,0.654320987654321,0.08730290657717624,0.10268274520991306,0.17616639852810592,1.0,0.0025621511204181224,0.022645507862527007,7.838474702784683,1.0,0.23942781406177713,0.2253274545626053,-0.0588919025737488,0.24691358024691357,0.0022019355792314006,0.00887178022360672,3.0290825523167526,1.0,0.014734774808882809,0.015832847036057734,0.07452249806443977,1.0
WFSG,FAULT_GER_TYPE_AB_POS_D09_D02_ZF_11.32_TRQ_0.6_SPD_200_ID_01.csv,PHASE_D02_D09,PHASE,D02,D09,27.290000000000003,BA,955,,0.6,200,11.32,1,3999.990429732112,31.824472105137627,1,0.5490014323608392,0.8227520067504912,0.273750574389652,13,5,1.7836719477713319,3.068443552824232,3.0456827184366575,31.830676750228978,31.630911050390562,-0.006275886039305741,0.0,3.068443552824232,3.0456827184366575,-0.0074177132463868,0.13846153846153847,0.03690830234938041,0.05806776071897546,0.5732980663617615,1.0,0.012028323325555208,0.019063044802068576,0.5848463901504457,1.0,0.0076163695692388015,0.008034112467641574,0.054848034172339015,0.7384615384615385,0.014597343853521853,0.010657490646288584,-0.2699020620989697,0.0,99.49803584870116,98.1473889940301,-0.013574608213622344,0.0,0.007231954986404585,0.006398733618328172,-0.1152138487646554,0.0,0.0050303733725025205,0.007493691714844997,0.48968896738514256,1.0,0.17395015518140422,0.16854680440212816,-0.031062638453188893,0.07692307692307693,0.1345628273750006,0.15343597465483777,0.14025528184868874,1.0,0.038295857149712925,0.018753444112547105,-0.5103009696523352,0.0,0.03799161991278125,0.09432220933516619,1.4827109123460682,1.0,0.01445111079763339,0.01554014384202235,0.0753598155629191,0.5384615384615384,0.004384124056600399,0.005891370738378684,0.34379654004295107,0.6615384615384615,0.7210218297383393,1.159337127131799,0.6079084977947553,1.0,0.8230921362205694,0.23705691344816732,-0.7119922509080544,0.0,0.5843828751056331,0.28686659022211064,-0.5091119154197381,0.0,0.46012520293263987,1.1475711299561997,1.4940410189271867,1.0,0.8989085432954467,0.7415344573417426,-0.17507241101165005,0.16923076923076924,0.10053817067371984,0.14419359987267202,0.4342174609544939,0.7538461538461538,0.11412026603029415,0.11447624562660927,0.0031193372456791942,0.4461538461538462,0.002113916889255053,0.014732851873758213,5.969456532867804,1.0,0.04048071250997902,0.043079390087520424,0.06419545053464157,1.0,0.023401511035499374,0.02236846784863666,-0.04414429415671573,0.07692307692307693,0.04959614376150655,0.05345460887133663,0.07779768379542408,1.0,0.012799381012445321,0.13106703999044295,9.240107694505033,1.0,0.21903080322828555,0.22463185370317498,0.0255719761437012,0.6461538461538462,0.002768409569392877,0.006315810525373354,1.2813858885621596,1.0,0.01441365976735699,0.01505747547203487,0.044667052994822876,0.9230769230769231
WFSG,FAULT_GER_TYPE_AB_POS_D09_D02_ZF_11.32_TRQ_0.6_SPD_200_ID_02.csv,PHASE_D02_D09,PHASE,D02,D09,27.290000000000003,BA,955,,0.6,200,11.32,2,3999.992187550358,31.8228223009246,1,0.5480018637695281,0.8225021966064361,0.274500332836908,13,5,1.391328371078065,3.081236780335788,3.065059010156866,31.814325911981104,31.68181276506587,-0.004165203665853233,0.0,3.081236780335788,3.065059010156866,-0.005250414470633066,0.16923076923076924,0.033151154299451716,0.04788146425460819,0.4443377694212022,1.0,0.010759411379794014,0.015622315108227763,0.4519674503352662,1.0,0.0074436333532924195,0.00663521870670791,-0.10860484500179428,0.2,0.014744603051316967,0.0071374868237954565,-0.5159254678505606,0.0,99.47775421301132,98.48029760482827,-0.010026931308151644,0.0,0.007160899739177999,0.006274023920682037,-0.123849774581227,0.03076923076923077,0.004577282662863476,0.005965063938217793,0.3031888955894506,1.0,0.16922415859099094,0.16886199396010565,-0.0021401473282584094,0.49230769230769234,0.13338932854049762,0.14500526570616534,0.08708295703086226,1.0,0.032305011041808565,0.022526100860473037,-0.3027056752489525,0.03076923076923077,0.03753322700376029,0.07376863532479383,0.9654221396258644,1.0,0.013412683222334482,0.01482942365427604,0.10562692106098757,0.5692307692307692,0.004154082036898801,0.003786189239551434,-0.08856175542022142,0.46153846153846156,0.7181430659108284,0.9775772573277006,0.3612569747336195,1.0,0.7859185218513391,0.4304122876786745,-0.45234489872464234,0.0,0.49183990600266464,0.34493958217478965,-0.2986750811291004,0.03076923076923077,0.45499627129376347,0.8949566755530249,0.9669538675740175,1.0,0.975522671637377,0.869036842516038,-0.10915771843888235,0.38461538461538464,0.11578887406490249,0.15278275270076655,0.31949424272947063,0.6,0.0968018309058592,0.08596872622233977,-0.11191012176262183,0.4153846153846154,0.0022919033908438335,0.012395556566425575,4.408411460948088,1.0,0.03890874735029267,0.041768694433584816,0.07350396191232389,0.9230769230769231,0.021825869230993847,0.02091972639773244,-0.0415169184636476,0.3076923076923077,0.04762755522328617,0.05083356794012774,0.06731424071236146,0.9538461538461539,0.015186275831086707,0.09771772052314284,5.4346072473616,0.9846153846153847,0.23108570715626517,0.24511357136855438,0.060704162039771976,0.8307692307692308,0.0030090008500303833,0.004068209271308758,0.3520133340167317,0.6923076923076923,0.014137952443638998,0.014280037172158805,0.010049880213293188,0.6461538461538462
WFSG,FAULT_GER_TYPE_AB_POS_D09_D02_ZF_11.32_TRQ_0.6_SPD_300_ID_01.csv,PHASE_D02_D09,PHASE,D02,D09,27.290000000000003,BA,1432,,0.6,300,11.32,1,3999.990429732112,47.747473505887406,1,0.5472510681762657,0.7295018238403372,0.18225075566407156,21,4,2.7217748833992936,3.055759302836208,3.045209139673975,47.7150851716019,47.53525270609066,-0.0037688807400110985,0.0,3.055759302836208,3.045209139673975,-0.0034525504520073764,0.08333333333333333,0.05318268007297571,0.1077601427131651,1.0262262557152027,1.0,0.01740410343649282,0.03538668106502136,1.033237804759467,1.0,0.00854964827089262,0.008346605669634992,-0.023748649631457962,0.4523809523809524,0.023042261237853617,0.02274943901925956,-0.012708050463077469,0.4166666666666667,152.5159112376523,150.09437828880922,-0.01587724801427309,0.0,0.007249896528537487,0.006530986914103538,-0.09916136204208327,0.0,0.00366477368033362,0.007948016267349946,1.1687604639821592,1.0,0.20200515189771956,0.19657810249984045,-0.02686589597787567,0.16666666666666666,0.09614054013419639,0.14866588209384263,0.5463391602161741,1.0,0.05685936341945382,0.06957980384576173,0.2237176018392733,0.9761904761904762,0.052173536282517766,0.16193821248038343,2.1038381528040193,1.0,0.043075626133774546,0.04128202598552009,-0.04163839993142058,0.4642857142857143,0.006165766195616483,0.01073861185505182,0.741650836952977,0.7619047619047619,1.0418938318846847,1.6834074810089212,0.6157188280535271,1.0,1.2963962761908918,0.612756472855477,-0.527338604631066,0.0,0.70088791101237,0.8568840997383003,0.22256938131606188,0.9642857142857143,0.5127252593235215,1.5928677414443526,2.106669141961033,1.0,0.5560521670497888,0.6502816458733723,0.16946158005917147,0.8690476190476191,0.14607593701579671,0.32551099125431365,1.2283683261200833,0.9761904761904762,0.08320468579171539,0.07765185630413504,-0.06673698043257603,0.5238095238095238,0.003258892837196477,0.02543912765938621,6.806064491912134,1.0,0.04346061815309299,0.045256585156979834,0.04132400964846907,0.8095238095238095,0.024711461993693572,0.022215968185980678,-0.10098527591567633,0.14285714285714285,0.05496129679691283,0.0621102071369296,0.1300717187666199,1.0,0.004134864654736837,0.055943792265562925,12.529775926637546,1.0,0.20165960598386962,0.21388999093112446,0.06064866033821928,0.9285714285714286,0.0025803112696399645,0.011020256101317292,3.270901821412797,1.0,0.015002434357505348,0.01651863024745815,0.10106332437937225,1.0
WFSG,FAULT_GER_TYPE_AB_POS_D09_D02_ZF_11.32_TRQ_0.6_SPD_300_ID_02.csv,PHASE_D02_D09,PHASE,D02,D09,27.290000000000003,BA,1432,,0.6,300,11.32,2,3999.992187550358,47.745493678483385,1,0.5490005056884755,0.7242518058837959,0.17525130019532043,21,4,2.1095799691549697,3.071674145284137,3.0640822013579845,47.74421105929868,47.62395619951255,-0.002518731739786673,0.0,3.071674145284137,3.0640822013579845,-0.0024715980820453226,0.11904761904761904,0.049596083388068125,0.07986058878074585,0.6102196650463491,1.0,0.016146520290352004,0.02606428450900187,0.6142353919176013,1.0,0.00809117690725926,0.008041730000689307,-0.006111213132120467,0.5,0.02259696157773022,0.015770664319164563,-0.3020891651775483,0.0,152.46380531984784,150.71398876293566,-0.011476930890195925,0.0,0.006822549561893367,0.005501765559726901,-0.19359097214090845,0.0,0.0034822484237204978,0.005847193454982517,0.6791431120055669,1.0,0.20025633850230284,0.19950563646380934,-0.003748705504694291,0.5238095238095238,0.09572973462561955,0.12877762086272487,0.34522070249488523,1.0,0.051932300648119434,0.04213930231245947,-0.18857239547338608,0.07142857142857142,0.050529699758860194,0.12630965058388804,1.499711084504121,1.0,0.0378833136421717,0.036879312831124236,-0.026502454894278563,0.4523809523809524,0.007511481191454524,0.007112359507213024,-0.053134884328215164,0.4523809523809524,0.9970634391339239,1.3885748433692002,0.3926644874024803,1.0,1.1867281156687988,0.3909505682722866,-0.6705643330511636,0.0,0.6411697079589586,0.522822103119348,-0.1845807800501799,0.08333333333333333,0.4966167815404474,1.242554982233845,1.502039859345035,1.0,0.594304481342656,0.766938207245141,0.29048026949497313,0.9880952380952381,0.11380518868317041,0.1944085775323402,0.7082575916074156,0.7261904761904762,0.07720153201161258,0.15004882729406196,0.9435990890892136,0.8928571428571429,0.0028454867326708545,0.02295023067588707,7.065485040707019,1.0,0.04302371412019079,0.045718327037502324,0.0626308763065847,0.9761904761904762,0.025478190849144038,0.02331888197319444,-0.08475126388426987,0.08333333333333333,0.05447247594414063,0.06060016323378716,0.1124914405566993,1.0,0.005518563390661539,0.0379753530492623,5.881383860430747,0.9761904761904762,0.21040906936539727,0.2075075926597182,-0.013789694115515373,0.47619047619047616,0.0024908248826103958,0.008325665437933982,2.3425334298124754,1.0,0.014704396872892302,0.01547127584567111,0.05215303826521143,0.9761904761904762
WFSG,FAULT_GER_TYPE_AB_POS_D09_D02_ZF_11.32_TRQ_0.6_SPD_377_ID_01.csv,PHASE_D02_D09,PHASE,D02,D09,27.290000000000003,BA,1800,,0.6,377,11.32,1,3999.990429732112,60.00261956780557,1,0.5472508681762669,0.6737508905761693,0.12650002239990243,27,3,3.4489002889772573,2.9644246190602845,2.947403702696944,59.96151518099451,59.88503252948561,-0.0012755290001934282,0.13580246913580246,2.9644246190602845,2.947403702696944,-0.005741726827493405,0.012345679012345678,0.06312172348079113,0.1503884480449915,1.3825149212023164,1.0,0.021293358480210012,0.051023935384479746,1.39623709110525,1.0,0.004844315708492043,0.00536893308816075,0.10829545620840879,0.8024691358024691,0.02528403220097189,0.04182337714435499,0.6541419031552785,1.0,194.40947349440674,190.8197854233907,-0.018464573801334424,0.0,0.007402900933059908,0.007401802378459179,-0.00014839515085536951,0.4444444444444444,0.0029816322553895464,0.008096937795892344,1.7156057831264941,1.0,0.25086962575793176,0.2634993232388456,0.050343669317306924,0.8395061728395061,0.09638373745675499,0.1770255324040296,0.8366742883721083,1.0,0.06187470095028668,0.12746528971744844,1.0600550428495907,1.0,0.06652602200804013,0.20876919095192403,2.138158342410626,1.0,0.05921246684391394,0.04001584107311965,-0.32419905459094006,0.2839506172839506,0.01321598137138706,0.01435188591743015,0.08594931500905048,0.48148148148148145,1.4371772181919549,2.094454023904369,0.45733873136348707,1.0,1.6480236930492187,1.3269415976663697,-0.19482856753641334,0.0,0.7022209201364256,1.4518818332065744,1.0675570772293521,1.0,0.6019541620891496,1.8870614430054617,2.1348922589989288,1.0,0.4517786214542326,0.6183398426069284,0.3686788467691345,0.9753086419753086,0.10746531097804447,0.42142912252419146,2.9215363421810676,1.0,0.09080338627917245,0.06861749289565834,-0.24432892089843658,0.3333333333333333,0.002851237831768908,0.03358310422297524,10.778429652127715,1.0,0.04543954296157509,0.04931894568804738,0.08537503842749512,0.9506172839506173,0.029386391054904495,0.027352380856846322,-0.06921605971478091,0.13580246913580246,0.059444551259107054,0.072578674444222,0.22094746964891535,1.0,0.0032669840238836326,0.02742755251110418,7.395373932223774,1.0,0.18479813758420616,0.22454911401218328,0.2151048541269198,1.0,0.0024960652193097128,0.013823526670045857,4.538127194396289,1.0,0.01481074635359798,0.018064073652654184,0.21965991594109446,1.0
WFSG,FAULT_GER_TYPE_AB_POS_D09_D02_ZF_11.32_TRQ_0.6_SPD_377_ID_02.csv,PHASE_D02_D09,PHASE,D02,D09,27.290000000000003,BA,1800,,0.6,377,11.32,2,3999.992187550358,60.00308252874392,1,0.5485006247314459,0.6732503068847606,0.12474968215331472,27,3,2.680089629706103,2.9726773067367445,2.964755102514818,59.96630628694307,59.9213971025653,-0.0007489069639020049,0.2962962962962963,2.9726773067367445,2.964755102514818,-0.002665006458646815,0.2716049382716049,0.06272082482088052,0.11499872876802418,0.833501537909299,1.0,0.02109836651659403,0.03878928748352242,0.8384971866430677,1.0,0.01159215241947635,0.011833941721495803,0.020858016119009597,0.6172839506172839,0.03137010608119202,0.025377014417520025,-0.19104467317262785,0.0,194.06209722650104,191.71425345095156,-0.012098414935757262,0.0,0.006872002411384615,0.005739023117274797,-0.1648688731879444,0.0,0.0031060980448160778,0.005912975630443203,0.9036667694091831,1.0,0.2537845296728759,0.25466933701326117,0.003486451051708176,0.6049382716049383,0.09591503695065082,0.1496731251240445,0.5604761243125278,1.0,0.0636598960703328,0.08815052270049051,0.38471044004061744,1.0,0.06426914196827155,0.16452062023453098,1.5598695609745605,1.0,0.059386004715248984,0.04352545149599497,-0.26707560637062666,0.3333333333333333,0.011274914609144608,0.009502173456103416,-0.15722878748929917,0.37037037037037035,1.2849835788333306,1.7900732664623635,0.39307092786945713,1.0,1.495641796344932,0.8855039850657368,-0.4079438089857194,0.0,0.7229317615676246,1.003590774427347,0.38822338120977523,1.0,0.5813993012505183,1.48847226360506,1.5601548890814616,1.0,0.5573064566613345,0.571818169713083,0.026039018350305948,0.5802469135802469,0.11707211739607218,0.289048012216864,1.4689739849751935,1.0,0.10226517946352189,0.05167514476889882,-0.49469462587379115,0.1111111111111111,0.0034055750149403446,0.028872695784191812,7.47806777343813,1.0,0.04781704006309004,0.0481134090275229,0.006197978043848688,0.5802469135802469,0.027750521836553715,0.024033913379625158,-0.13392931775549327,0.024691358024691357,0.05978638494373836,0.06587600333426186,0.10185627373613731,0.9876543209876543,0.0024115819373378145,0.017570931410077165,6.286060298442113,0.9506172839506173,0.20460231128708037,0.2321279546092768,0.1345324163204335,0.8641975308641975,0.0017667047341714346,0.009844687784396558,4.572344712719418,1.0,0.014402169358348494,0.016274981954914447,0.1300368402820052,1.0
