feature_set,protocol,model,seed,acc,macro_f1,micro_f1,hamming,n_train,n_test,any_component_found,mean_component_recall,all_zero_prediction_rate,fit_s
plain,compositional_control,rf,0,0.8998644986449864,0.9329958146600317,0.9357811071252725,0.9917524841915086,15120,7380,0.9013550135501355,0.9013550135501355,0.07506775067750678,104.2
plain,compositional_zeroshot,rf,0,0.0,0.017431167787439174,0.07159047422801802,0.8609391534391534,25200,15120,0.08042328042328042,0.04021164021164021,0.7604497354497355,194.5
