protocol,kind,model,features,seed,n_train,n_test,fit_s,acc,macro_f1,micro_f1,hamming,any_component_found,mean_component_recall,all_zero_prediction_rate,topk_exact,topk_recall,top1_in_truth,noise_snr_db
compositional_control,multilabel,cnn,plain,0,15120,7380,82.4,0.8237127371273713,0.9098249009451697,0.9036976283234228,0.9872719060523939,0.8957994579945799,0.8957994579945799,0.08970189701897019,0.9025745257452574,0.9025745257452574,0.9025745257452574,
leave_combination_out[fold0],multilabel,cnn,plain,0,35280,5040,197.5,0.0001984126984126984,0.08310781118340578,0.4128384912959381,0.8715079365079365,0.6773809523809524,0.33878968253968256,0.09444444444444444,0.03333333333333333,0.49067460317460315,0.540079365079365,
leave_combination_out[fold1],multilabel,cnn,plain,0,35280,5040,178.8,0.0,0.10284167367502649,0.34471803018268465,0.8690476190476191,0.5166666666666667,0.25833333333333336,0.23115079365079366,0.0007936507936507937,0.4887896825396825,0.5805555555555556,
leave_combination_out[fold2],multilabel,cnn,plain,0,35280,5040,178.6,0.0,0.12517621338667895,0.4211124439674222,0.8787169312169312,0.6617063492063492,0.3308531746031746,0.2863095238095238,0.003373015873015873,0.4509920634920635,0.7182539682539683,
compositional_zeroshot,multilabel,cnn,plain,0,25200,15120,132.9,0.0,0.0375684893059963,0.12201047346542136,0.8565873015873016,0.14947089947089948,0.07473544973544974,0.5505952380952381,0.07936507936507936,0.33343253968253966,0.39305555555555555,
