component,support_test,f1
bearing_ball_h,0,0.0
bearing_ball_l,0,0.0
bearing_inner_h,3360,0.6801951219512196
bearing_inner_l,0,0.0
bearing_outer_h,3360,0.43173862310385064
bearing_outer_l,0,0.0
bend,0,0.0
broken_bar,0,0.0
dynamic_eccentricity,1680,0.0
health,0,0.0
static_eccentricity_h,1680,0.0023752969121140144
static_eccentricity_l,0,0.0
voltage_unbalance_l,0,0.0
winding_h,0,0.0
winding_l,0,0.0
