,bearing_ball_h,bearing_ball_l,bearing_inner_h,bearing_inner_l,bearing_outer_h,bearing_outer_h_and_inner_h,bearing_outer_l,bend,broken_bar,broken_bar_and_bearing_inner_h,broken_bar_and_bearing_outer_h,dynamic_eccentricity,dynamic_eccentricity_and_bearing_inner_h,dynamic_eccentricity_and_bearing_outer_h,health,static_eccentricity_h,static_eccentricity_h_and_bearing_inner_h,static_eccentricity_h_and_bearing_outer_h,static_eccentricity_l,voltage_unbalance_l,winding_h,winding_h_and_bearing_inner_h,winding_h_and_bearing_outer_h,winding_l
bearing_ball_h,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bearing_ball_l,1,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bearing_inner_h,0,0,137,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bearing_inner_l,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bearing_outer_h,0,0,0,0,139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bearing_outer_h_and_inner_h,0,0,0,1,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bearing_outer_l,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bend,0,0,0,0,0,0,0,138,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
broken_bar,0,1,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
broken_bar_and_bearing_inner_h,0,0,0,0,0,0,0,0,0,138,2,0,0,0,0,0,0,0,0,0,0,0,0,0
broken_bar_and_bearing_outer_h,0,0,0,0,0,0,0,0,0,0,139,0,0,1,0,0,0,0,0,0,0,0,0,0
dynamic_eccentricity,0,0,0,0,0,0,0,0,1,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_eccentricity_and_bearing_inner_h,0,0,0,0,0,0,0,0,0,1,0,0,139,0,0,0,0,0,0,0,0,0,0,0
dynamic_eccentricity_and_bearing_outer_h,0,0,0,0,0,0,0,0,0,0,1,0,0,139,0,0,0,0,0,0,0,0,0,0
health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,1
static_eccentricity_h,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,137,0,0,1,0,0,0,0,0
static_eccentricity_h_and_bearing_inner_h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0
static_eccentricity_h_and_bearing_outer_h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0
static_eccentricity_l,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,133,0,0,0,0,0
voltage_unbalance_l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0
winding_h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,107
winding_h_and_bearing_inner_h,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,138,0,0
winding_h_and_bearing_outer_h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0
winding_l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,102
