component,support_test,f1
bearing_ball_h,0,0.0
bearing_ball_l,0,0.0
bearing_inner_h,8400,0.29562747286192553
bearing_inner_l,0,0.0
bearing_outer_h,8400,0.47286610308153804
bearing_outer_l,0,0.0
bend,0,0.0
broken_bar,3360,0.0
dynamic_eccentricity,3360,0.0
health,0,0.0
static_eccentricity_h,3360,0.0
static_eccentricity_l,0,0.0
voltage_unbalance_l,0,0.0
winding_h,3360,0.0005950609937518596
winding_l,0,0.0
