protocol,kind,model,features,seed,n_train,n_test,fit_s,acc,macro_f1,micro_f1,hamming,any_component_found,mean_component_recall,all_zero_prediction_rate,topk_exact,topk_recall,top1_in_truth
compositional_control,multilabel,rf,plain+order,0,15120,7380,118.9,0.9032520325203252,0.9352773756992511,0.938330637789185,0.9920776874435411,0.9040650406504065,0.9040650406504065,0.07384823848238482,0.9060975609756098,0.9060975609756098,0.9060975609756098
leave_combination_out[fold0],multilabel,rf,plain+order,0,35280,5040,364.7,0.0,0.07428726946447894,0.3708848451173774,0.8801851851851852,0.5297619047619048,0.2648809523809524,0.24285714285714285,0.0,0.2648809523809524,0.5218253968253969
leave_combination_out[fold1],multilabel,rf,plain+order,0,35280,5040,370.3,0.0001984126984126984,0.13758455544458192,0.49636627906976744,0.9083333333333333,0.6773809523809524,0.33878968253968256,0.31765873015873014,0.0001984126984126984,0.33878968253968256,0.631547619047619
leave_combination_out[fold2],multilabel,rf,plain+order,0,35280,5040,363.5,0.015277777777777777,0.12668890394861565,0.47156988089630575,0.8961243386243386,0.6763888888888889,0.3476190476190476,0.2982142857142857,0.015277777777777777,0.3458333333333333,0.5972222222222222
compositional_zeroshot,multilabel,rf,plain+order,0,25200,15120,230.7,0.0,0.05127257579581436,0.22830947492758108,0.8790167548500882,0.26845238095238094,0.13422619047619047,0.651521164021164,0.0,0.13422619047619047,0.2652777777777778
