machine,ftype,feature,q95_within,q95_between,median_sdr_within,ds_within,median_sdr_between,ds_between
PMSG,TURNS,V2_V1,0.0859180971246973,0.3150128068428547,2.9895182500085298,0.7592592592592593,1.0523137512460092,0.5
PMSG,TURNS,I2_I1,0.16198041871068367,0.26768362097781156,1.4713821086768424,0.5648148148148148,0.9783460823054907,0.48148148148148145
PMSG,TURNS,Id_2fe,0.5634666267463362,0.8760278098904057,0.5161297442386663,0.2962962962962963,0.44133730552636985,0.2037037037037037
PMSG,TURNS,PId_2fe,0.5572604268327287,0.8701607906872371,0.5178719379220738,0.3055555555555556,0.44144619673616353,0.2037037037037037
PMSG,TURNS,Vq_2fe,0.16465213555885555,0.27700236983653226,1.346006770117845,0.5740740740740741,0.8723135389858083,0.4444444444444444
PMSG,TURNS,D2_D1,0.09016155723524637,0.21065084866162329,2.778897630362763,0.6388888888888888,1.1090602282565596,0.5185185185185185
PMSG,WINDINGS,V2_V1,0.0859180971246973,0.3150128068428547,61.897535214311716,0.9444444444444444,12.507750522626012,0.8333333333333334
PMSG,WINDINGS,I2_I1,0.16198041871068367,0.26768362097781156,11.316156734412056,0.8148148148148148,6.343019669455099,0.75
PMSG,WINDINGS,Id_2fe,0.5634666267463362,0.8760278098904057,4.1432951973395475,0.7222222222222222,2.39804488603456,0.6666666666666666
PMSG,WINDINGS,PId_2fe,0.5572604268327287,0.8701607906872371,4.2056138843028705,0.7222222222222222,2.404315318067055,0.6666666666666666
PMSG,WINDINGS,Vq_2fe,0.16465213555885555,0.27700236983653226,22.397580687088812,0.8981481481481481,10.742148524034004,0.8148148148148148
PMSG,WINDINGS,D2_D1,0.09016155723524637,0.21065084866162329,32.62948217645253,0.8981481481481481,11.904320318312507,0.8518518518518519
SCIG,TURNS,V2_V1,0.03255900419717797,0.11145951489585192,4.170551192564298,0.7314814814814815,1.4484176669024462,0.5925925925925926
SCIG,TURNS,I2_I1,0.03360686480259736,0.1303796218609276,4.524813854137895,0.75,1.1477706121060893,0.5370370370370371
SCIG,TURNS,Id_2fe,0.016056686361558964,0.07844643764237827,6.681988120784283,0.7870370370370371,1.2895417383486993,0.5277777777777778
SCIG,TURNS,PId_2fe,0.01605561056296698,0.07844122319958925,6.685069382094998,0.7777777777777778,1.2899060363511219,0.5277777777777778
SCIG,TURNS,Vq_2fe,0.06027819224601883,0.1308147960201869,2.576625190690107,0.6018518518518519,1.5360657879729154,0.5833333333333334
SCIG,TURNS,D2_D1,0.01006517369100546,0.06831289794562713,11.061666817505284,0.8148148148148148,1.5654347752492106,0.5185185185185185
SCIG,WINDINGS,V2_V1,0.03255900419717797,0.11145951489585192,48.19233280394347,1.0,16.081008676143977,0.9444444444444444
SCIG,WINDINGS,I2_I1,0.03360686480259736,0.1303796218609276,55.60793972445563,1.0,12.869235666023862,0.8611111111111112
SCIG,WINDINGS,Id_2fe,0.016056686361558964,0.07844643764237827,73.9714307758951,1.0,15.968284869499293,0.8796296296296297
SCIG,WINDINGS,PId_2fe,0.01605561056296698,0.07844122319958925,74.01292050093355,1.0,15.977541915956568,0.8796296296296297
SCIG,WINDINGS,Vq_2fe,0.06027819224601883,0.1308147960201869,24.799935495440153,0.9166666666666666,11.20194859217603,0.8611111111111112
SCIG,WINDINGS,D2_D1,0.01006517369100546,0.06831289794562713,84.88699817652737,1.0,12.177061455443576,0.8240740740740741
