ftype,feature,abs_delta_median_PMSG,q95_PMSG,sdr_median_PMSG,abs_delta_median_SCIG,q95_SCIG,sdr_median_SCIG,ratio_sdr,ratio_numerator,ratio_denominator
TURNS,V2_V1,0.256853719360288,0.0859180971246973,2.9895182500085298,0.1357889937832466,0.03255900419717797,4.170551192564298,1.395057947063009,0.5286627506171159,2.638842902085568
TURNS,I2_I1,0.23833509004688358,0.16198041871068367,1.4713821086768424,0.1520648074529317,0.03360686480259736,4.524813854137895,3.075213316415059,0.6380294543410229,4.819861051072064
TURNS,Id_2fe,0.29082188594961056,0.5634666267463362,0.5161297442386663,0.107290587527096,0.016056686361558964,6.681988120784283,12.946334125038197,0.3689219852789407,35.09233562008921
TURNS,PId_2fe,0.28858953717114716,0.5572604268327287,0.5178719379220738,0.10733287058533159,0.01605561056296698,6.685069382094998,12.908730696856038,0.37192225205891005,34.708142966426706
TURNS,Vq_2fe,0.22162288917658074,0.16465213555885555,1.346006770117845,0.15531430859035322,0.06027819224601883,2.576625190690107,1.9142735741697046,0.7008044573708478,2.73153738398202
TURNS,Vqconv_2fe,0.19718888380075017,0.16153806987606087,1.220696049866401,0.13924353447658294,0.038763075163940404,3.59216945218307,2.9427222710978826,0.706142921409717,4.167318232438191
TURNS,D2_D1,0.25054973775084277,0.09016155723524637,2.778897630362763,0.11133759783022228,0.01006517369100546,11.061666817505284,3.980595289528989,0.4443732363469527,8.957774600136055
WINDINGS,V2_V1,5.318118442322605,0.0859180971246973,61.897535214311716,1.5690943660353933,0.03255900419717797,48.19233280394347,0.7785824207229599,0.2950469010897237,2.638842902085568
WINDINGS,I2_I1,1.8329958060357876,0.16198041871068367,11.316156734412056,1.8688085122707634,0.03360686480259736,55.60793972445563,4.914030534355692,1.019537800423247,4.819861051072064
WINDINGS,Id_2fe,2.3346085684592106,0.5634666267463362,4.1432951973395475,1.1877360636843177,0.016056686361558964,73.9714307758951,17.853285187932762,0.5087516938517008,35.09233562008921
WINDINGS,PId_2fe,2.3436221882602677,0.5572604268327287,4.2056138843028705,1.1883226281908241,0.01605561056296698,74.01292050093355,17.598600950310978,0.5070453054009304,34.708142966426706
WINDINGS,Vq_2fe,3.6878094914809516,0.16465213555885555,22.397580687088812,1.494895279483008,0.06027819224601883,24.799935495440153,1.1072595670895915,0.4053613080980188,2.73153738398202
WINDINGS,Vqconv_2fe,0.8451920121696477,0.16153806987606087,5.2321537134751965,1.1836634395788979,0.038763075163940404,30.535849763540128,5.83619125808485,1.4004669028288355,4.167318232438191
WINDINGS,D2_D1,2.941924924808676,0.09016155723524637,32.62948217645253,0.8544023807548118,0.01006517369100546,84.88699817652737,2.601542915007923,0.2904229042521799,8.957774600136055
