machine,ftype,feature,group,n,median_sdr,q25,q75,frac_detectable,healthy_false_alarm,median_delta
PMSG,TURNS,I2_I1,stator current,108,1.3844819888644215,0.43732627784852657,2.5638838994980473,0.5740740740740741,0.0,0.001057251732949749
PMSG,TURNS,I0_I1,stator current,108,0.4653728258703279,0.2560233895493322,0.7997741040718219,0.19444444444444445,0.0,-0.0006228301168904786
PMSG,TURNS,I_unbal_rms,stator current,108,0.8551931408007406,0.37800341828838124,2.344264054858206,0.46296296296296297,0.1111111111111111,-0.010398903598636254
PMSG,TURNS,Ia_h3,stator current,108,0.3237603475572234,0.12683426467729436,0.5365823512534804,0.05555555555555555,0.0,-0.008846266844841535
PMSG,TURNS,Ia_h5,stator current,108,0.481511264763158,0.1988973403898938,1.0384441146027756,0.25925925925925924,0.0,0.0018283739219076484
PMSG,TURNS,Ia_h7,stator current,108,0.8566536970744891,0.3645317304644393,2.243310982522417,0.42592592592592593,0.0,-0.0010957793166367312
PMSG,TURNS,Ia_thd,stator current,108,0.3196747310976123,0.1725148849416731,0.6241725730431875,0.1111111111111111,0.0,0.0012335380772762273
PMSG,TURNS,Id_2fe,dq / control,108,0.5712780153907533,0.3330392809369736,1.2725741591550006,0.28703703703703703,0.0,0.10866321933422504
PMSG,TURNS,Iq_2fe,dq / control,108,0.907490689298754,0.32549690899607814,1.6787107255021831,0.46296296296296297,0.0,-0.008419524067546421
PMSG,TURNS,Id_1fe,dq / control,108,0.3042560146793309,0.16517366782473378,0.5062463180392989,0.027777777777777776,0.2222222222222222,-0.02165069074835918
PMSG,TURNS,Iq_1fe,dq / control,108,0.2559844014658077,0.12123953554206124,0.4576876769989215,0.037037037037037035,0.0,-0.005298198309442275
PMSG,TURNS,Id_std,dq / control,108,0.23465890978999993,0.11983143081001647,0.40723413581143353,0.009259259259259259,0.0,-0.009659082891074505
PMSG,TURNS,Iq_std,dq / control,108,0.2603821757216163,0.09990394605922134,0.41462785484666287,0.018518518518518517,0.0,0.012178116746212247
PMSG,TURNS,Vd_2fe,dq / control,108,0.6473337983341327,0.266447117749667,1.327549452958305,0.3425925925925926,0.0,0.15785956889257902
