machine,ftype,n,I2_I1_pre,V2_V1_pre,D2_D1_pre,I1_pre_A_rms,I2_pre_A_rms,dI2_A_rms,dV2_V_rms,dV2_dI2_ohm,dV2_dI2_q25,dV2_dI2_q75
PMSG,TURNS,108,0.0054896418051799505,0.0009285474729767999,0.0013684929785868,2.5666739515481583,0.01490172170034404,-4.284615508171325e-05,-0.00021870029696890496,7.9248385464033175,-2.072882059429051,16.543655142394364
PMSG,WINDINGS,108,0.0051279072495554,0.00088071116970525,0.001327092448273,2.5711971317270805,0.014575206233343426,0.01989992066146187,0.4553268683687324,15.40015221376992,10.895306472333441,18.02927385313647
SCIG,TURNS,108,0.00789907650603475,0.00201149083993915,0.0035688539728927,5.253213217362574,0.042654489170898514,0.0012321836631865972,0.006523271301307023,6.687438179068156,3.996795568259418,7.898254249354576
SCIG,WINDINGS,108,0.0077070172128441,0.0020155306899184502,0.0034985539658025,5.2533453622070105,0.0411188548214748,0.05884436959869145,0.39652767312655945,7.039725228093439,6.58745979545266,7.535213447772237
WFSG,TURNS,117,0.0148498302006806,0.0073218091215082,0.003855302337,2.157880196372988,0.042790644480734955,0.003176019071831984,-0.06876143110683804,17.328123020706766,11.831639563714697,64.16098099794993
WFSG,WINDINGS,81,0.01477451595101595,0.0072709491279436995,0.00384521225431725,2.1717485967677597,0.04461750673544186,0.026600730892865142,0.2964206318596392,10.625554263613626,9.661141455247364,12.848102499668872
