case,ftype,sev_pct,phases,Ifault_A_PMSG,Ifault_A_SCIG,Ifault_over_I1_PMSG,Ifault_over_I1_SCIG,Ifault_pu_PMSG,Ifault_pu_SCIG,ratio_SCIG_over_PMSG
TURNS_D11_D12,TURNS,2.699999999999996,AA,1.427756230741788,1.1605869564650417,0.3963140611634206,0.15508429904367127,0.22662797313361713,0.1507255787616937,0.8128747271248545
TURNS_D09_D10,TURNS,2.799999999999997,AA,1.4146583567668711,1.161240117019415,0.39413790155328354,0.15544190781204048,0.22454894551855098,0.15081040480771624,0.8208625859839188
TURNS_D23_D24,TURNS,2.800000000000012,AA,1.4249921467290854,1.1339212285735027,0.39850977909509544,0.1514229831962397,0.22618922963953736,0.14726249721733803,0.7957385808590565
TURNS_D21_D22,TURNS,3.8000000000000114,AA,1.4359959673648957,1.1248226052132497,0.40208882244620026,0.14992660261834223,0.22793586783569772,0.14608085781990254,0.7833048495793061
TURNS_D06_D07,TURNS,7.399999999999999,AA,3.7546446116257814,3.4263203837469303,1.055043363300883,0.45634093256665803,0.5959753351786955,0.444976673213887,0.9125551784948602
TURNS_D14_D15,TURNS,7.400000000000006,BB,3.75799034403907,3.399277148160911,1.056583155833953,0.4529445652021022,0.5965064038157254,0.44146456469622225,0.9045465360369671
TURNS_D18_D19,TURNS,7.400000000000006,AA,3.74431631816919,3.383468172051257,1.049152790266752,0.45067655670820567,0.5943359235189192,0.4394114509157476,0.9036277612639382
TURNS_D02_D03,TURNS,7.689999999999999,BB,3.771949316204943,3.4439231974377074,1.0590038145270517,0.4595913610340339,0.5987221136833243,0.44726275291398804,0.9130353853489019
TURNS_D17_D20,TURNS,11.599999999999994,CC,6.0402465208645975,5.653978431112242,1.7033460808295944,0.7542797672615454,0.9587692890261267,0.7342829131314601,0.9360509395737271
TURNS_D13_D16,TURNS,11.6,AA,6.0108908709011155,5.663943346082773,1.6949860275422728,0.7560203520803481,0.9541096620477961,0.7355770579328276,0.9422801823773037
TURNS_D01_D04,TURNS,12.04,AA,6.016030426363795,5.328385620726738,1.7079151946529927,0.7110646039583277,0.9549254645021897,0.691998132561914,0.885697917579735
TURNS_D05_D08,TURNS,12.1,CC,6.0163470053313715,5.716455717149056,1.6931423083226982,0.7616906354955045,0.9549757151319638,0.7423968463829944,0.9501539243137792
WINDINGS_D04_D06,WINDINGS,2.3000000000000007,AA,2.0616319742271596,1.9408229029488655,0.5783357719234434,0.2582116243163777,0.3272431705122476,0.2520549224608916,0.9414012429043833
WINDINGS_D16_D18,WINDINGS,3.199999999999996,AA,2.1403524666591216,1.9327218323117157,0.5908562266353259,0.2572913064012864,0.3397384867712891,0.2510028353651579,0.9029923166479693
WINDINGS_D04_D07,WINDINGS,9.7,AA,4.815998937625032,4.620113194148892,1.3294448061192377,0.6150250827756166,0.7644442758134972,0.6000147005388172,0.9593260409702791
WINDINGS_D16_D19,WINDINGS,10.6,AA,4.956229164773087,4.5479468220661365,1.3665303513221292,0.6048995980413605,0.7867030420274742,0.5906424444241736,0.9176223840477636
WINDINGS_D01_D06,WINDINGS,14.34,AA,7.268208278184499,6.667006126708035,2.0493387472525684,0.8893385099180369,1.1536838536800793,0.865844951520524,0.9172833071830138
WINDINGS_D13_D18,WINDINGS,14.799999999999995,AA,6.934400284493399,6.3667871450600755,1.9384648912265077,0.849645961966965,1.100698457856095,0.8268554733844253,0.9181453166609648
WINDINGS_D01_D07,WINDINGS,21.74,AA,10.534665973273954,9.590385739294431,2.9561934969608714,1.281016612085627,1.672169202106977,1.2455046414668092,0.9103644827111628
WINDINGS_D13_D19,WINDINGS,22.200000000000003,AA,10.010499397993092,9.15787647239901,2.804764886874141,1.2210385115653903,1.5889681584116018,1.1893346068050663,0.9148271338226127
WINDINGS_D12_D21,WINDINGS,33.7,AA,15.388017734757605,13.721820863591896,4.300527055382444,1.831602311513762,2.4425424975805723,1.7820546576093372,0.8917211495407757
WINDINGS_D11_D21,WINDINGS,36.39999999999999,AA,16.350385701616595,14.4658586031824,4.5355522082114055,1.931235264693818,2.59529931771692,1.878682935478234,0.8847411227584762
WINDINGS_D12_D22,WINDINGS,37.50000000000001,AA,16.558261459421814,14.52103166170035,4.598458841101053,1.9382202562283426,2.6282954697494945,1.8858482677532922,0.8769659603024169
WINDINGS_D11_D22,WINDINGS,40.2,AA,17.557653433762766,15.214677785417045,4.904883269237502,2.031473196161058,2.7869291164702807,1.9759321799242917,0.8665553083625481
