,PMSG,SCIG,abs_mean
V2_V1,7.1219556562728545,-0.8684620978208902,3.9952088770468723
I2_I1,1.20787294524025,6.045077004378456,3.6264749748093528
PIq_2fe,-3.3746196307582705,2.936065393490344,3.1553425121243075
Ia_h3,3.1485924615473184,0.3235858341302015,1.73608914783876
Iq_2fe,1.70733678581802,1.5988554422172236,1.6530961140176217
Vd_2fe,2.191761111475847,1.073741450745514,1.6327512811106804
Iq_std,-0.4910697657140453,-2.7064260552727073,1.5987479104933764
I0_I1,0.7957441770339013,-2.2576057571579824,1.5266749670959419
Vq_2fe,2.1290204059306332,-0.6090997060267375,1.3690600559786854
D2_D1,1.8110438436277398,0.6913223764478059,1.2511831100377728
I_unbal_rms,-1.7616656509255502,-0.740360888243025,1.2510132695842877
Vdconv_2fe,-2.045156634043216,0.34015206600298686,1.1926543500231015
Vqconv_2fe,-0.9225328881439526,1.459947366146965,1.191240127145459
Ia_h5,1.5281850092950904,0.4068191669643641,0.9675020881297273
PId_2fe,0.20859631107595128,0.6824420356551985,0.4455191733655749
Id_2fe,0.19304476077949592,0.6704236559923519,0.4317342083859239
Ia_thd,0.5412879932357098,-0.20007228776303074,0.37068014049937026
Id_1fe,0.058099758537138224,0.6138814535272578,0.335990606032198
Vdc_std,0.560428089031079,0.022929386012155373,0.29167873752161716
Id_std,0.051207885842775254,-0.49691726101978,0.27406257343127766
Ia_h7,-0.4798380875109825,0.021160421510063553,0.250499254510523
PId_std,0.027826409827425718,-0.45573478592641203,0.24178059787691888
PIq_std,-0.23166327418632252,0.11253589678857205,0.17209958548744728
Spd_std,0.2996700225711933,0.04102175085675859,0.17034588671397594
Iq_1fe,0.01940422389180459,0.13463369714953144,0.07701896052066802
Te_1fe,-0.022552365896837477,-0.09538789943570863,0.05897013266627306
Te_std,-0.01993806234673302,-0.09162098205664403,0.055779522201688525
Tm_1fe,0.023526197547314293,0.027728375177511293,0.025627286362412793
Tm_std,0.008022953616407683,0.036631620956798054,0.022327287286602868
Tm_2fe,0.025686113108337093,0.005804097346261354,0.015745105227299223
Te_2fe,0.013123302989552867,0.016520176350149504,0.014821739669851185
