machine,I2_I1,I0_I1,I_unbal_rms,Ia_h3,Ia_h5,Ia_h7,Ia_thd,Id_2fe,Iq_2fe,Id_1fe,Iq_1fe,Id_std,Iq_std,Vd_2fe,Vq_2fe,Vdconv_2fe,Vqconv_2fe,D2_D1,V2_V1,Te_2fe,Te_1fe,Te_std,Spd_std,Vdc_std,If_2fe,If_std
PMSG,0.1597533698982694,0.013484171287147451,0.060418679115678754,0.16195688361822852,0.030170277029678866,0.030712003314512713,0.03405962652168197,0.4440980970807605,0.2002207572900433,0.44891730040039146,0.1601546208022355,0.07643551949551991,0.1843954462887199,0.44966358561782765,0.17613880925120767,0.428706559990763,0.16605962364611088,0.09319566603421936,0.09456839688626448,0.5508087008456347,0.46433612187696766,0.31617968128455415,0.45943303812899633,0.002975603035035895,,
SCIG,0.03551384334443934,0.0065226617099492035,0.0485286369484685,0.03944278976352203,0.014010366276301662,0.022662381977421434,0.043176251369605435,0.015461099874366757,0.06088825380543136,0.5952079268866983,0.10956342752711043,0.1269549645598964,0.024906806160508693,0.043081088905992826,0.061116901558248025,0.019923768980662546,0.0377749965274633,0.016586475067723264,0.036879224609918264,0.452749036700904,0.5767161502680082,0.3972566229349877,0.45690396817716594,0.00422052444796716,,
WFSG,0.08033807455471348,0.13920191868138224,0.07804707431780701,0.5596900842998127,0.042098263642361196,0.06727553241161939,0.035269806158001224,0.1576632146218169,0.08182100756256555,0.2298652796337947,0.5273028515085751,0.02276751237976356,0.03231749644847204,0.054849279872765076,0.0960219712626125,0.15537351751781936,0.08477289166174781,0.06368244318237908,0.03643239965529206,0.5737182447663717,0.6328769284866034,0.2017501694278198,1.347212522691233,0.09457418796255153,0.3391428451397171,0.02591828568121508
