machine,ftype,feature,group,median_sdr,q25,q75,frac_detectable,healthy_false_alarm,median_delta
PMSG,TURNS,I2_I1,stator current,1.4713821086768424,0.43845866862910393,2.684440072706823,0.5648148148148148,0.0,-0.0034467593954795196
PMSG,TURNS,I0_I1,stator current,0.5136429259569169,0.19475203704742214,0.8717995919224004,0.21296296296296297,0.0,-0.0006128694177653985
PMSG,TURNS,I_unbal_rms,stator current,0.8034104489679877,0.34979594630209054,2.333716221920195,0.4722222222222222,0.0,-0.011186558605963301
PMSG,TURNS,Ia_h3,stator current,0.24692250343697553,0.09394784171528625,0.4461993014936982,0.037037037037037035,0.0,-0.012199514743507138
PMSG,TURNS,Ia_h5,stator current,0.5007870200671438,0.18397516238052503,1.0513788778788857,0.2777777777777778,0.0,0.0017713382758037565
PMSG,TURNS,Ia_h7,stator current,0.8461304953304443,0.35887451708613494,2.0288305783793197,0.39814814814814814,0.0,-0.0013304584408184291
PMSG,TURNS,Ia_thd,stator current,0.33932745132943143,0.15659769358015718,0.7127886180694445,0.12037037037037036,0.0,-0.0003510667608174989
PMSG,TURNS,Id_2fe,dq / control,0.5161297442386663,0.29313728364776603,1.2410923541688141,0.2962962962962963,0.1111111111111111,0.11221259090307387
PMSG,TURNS,Iq_2fe,dq / control,1.0718077292162116,0.39949783637101566,1.94955436792963,0.5277777777777778,0.0,-0.012431182009058319
PMSG,TURNS,Id_1fe,dq / control,0.35519933574208895,0.18375663645113624,0.5303594489534409,0.05555555555555555,0.3333333333333333,-0.05733371083997074
PMSG,TURNS,Iq_1fe,dq / control,0.27200044553929836,0.12776861848698917,0.4693799907096723,0.046296296296296294,0.0,-0.006086802934966468
PMSG,TURNS,Id_std,dq / control,0.22537905724235452,0.1050898877498631,0.3642346645401264,0.018518518518518517,0.0,-0.008790007963495966
PMSG,TURNS,Iq_std,dq / control,0.34820945752240123,0.16644780670545378,0.535980855219507,0.05555555555555555,0.1111111111111111,0.02284099593507533
PMSG,TURNS,Vd_2fe,dq / control,0.5912998528727327,0.28899365989754333,1.2797436850975852,0.2962962962962963,0.0,0.2544340341638892
PMSG,TURNS,Vq_2fe,dq / control,1.346006770117845,0.5615564519927343,4.728744656267974,0.5740740740740741,0.0,0.02037651847943093
PMSG,TURNS,PId_2fe,dq / control,0.5178719379220738,0.2912081671087656,1.2532147799228284,0.3055555555555556,0.1111111111111111,0.11211992079043304
PMSG,TURNS,PIq_2fe,dq / control,1.802369710846122,0.5110878058053386,3.5922806303044275,0.6296296296296297,0.1111111111111111,-0.028067134165239406
PMSG,TURNS,PId_std,dq / control,0.35603588618787696,0.1940806579420893,0.6290941012728216,0.07407407407407407,0.2222222222222222,0.020943722384375155
PMSG,TURNS,PIq_std,dq / control,0.7138842855636667,0.3218410690672062,1.1070686727587802,0.32407407407407407,0.1111111111111111,-0.0008205807685166659
PMSG,TURNS,D2_D1,dq / control,2.778897630362763,0.5916748199706207,7.073891255907887,0.6388888888888888,0.0,0.0099156921189897
PMSG,TURNS,V2_V1,dq / control,2.9895182500085298,1.041912830963957,12.540133876844672,0.7592592592592593,0.1111111111111111,0.003111987706718683
PMSG,TURNS,Te_2fe,mechanical,0.3400794852107604,0.1799741063905372,0.5670154014981459,0.08333333333333333,0.1111111111111111,0.03404905720816688
PMSG,TURNS,Te_1fe,mechanical,0.3865807103531729,0.21493896115553768,0.5804667833536077,0.07407407407407407,0.1111111111111111,0.05350543056387148
PMSG,TURNS,Te_std,mechanical,0.3774067039775683,0.16614492899829078,0.6143883564574064,0.06481481481481481,0.0,0.04889202359239487
PMSG,TURNS,Spd_std,mechanical,0.47645407826316616,0.25231589468178306,0.7880555772422109,0.18518518518518517,0.4444444444444444,0.08391794749535368
PMSG,TURNS,Vdc_std,mechanical,0.5016319846442802,0.20720586745680317,0.7837161179500137,0.17592592592592593,0.0,-0.000730328568829351
PMSG,WINDINGS,I2_I1,stator current,11.316156734412056,1.5304409551423677,78.47648493878097,0.8148148148148148,0.0,1.8329958060357876
PMSG,WINDINGS,I0_I1,stator current,2.1089125117050713,0.5945814393888347,6.406061110275587,0.6481481481481481,0.0,-0.024924718026846912
PMSG,WINDINGS,I_unbal_rms,stator current,4.077498926368163,1.7284816175377533,25.83399873111793,0.8055555555555556,0.0,-0.042063812455733596
PMSG,WINDINGS,Ia_h3,stator current,0.6864617737026601,0.15482917226779747,1.7487815988685589,0.37962962962962965,0.0,-0.02564690038276605
PMSG,WINDINGS,Ia_h5,stator current,1.2761627172583254,0.46402348956006284,4.325670067776386,0.5833333333333334,0.0,0.00674174480103306
PMSG,WINDINGS,Ia_h7,stator current,1.494070691140113,0.8508124721990122,4.321661699605219,0.6574074074074074,0.0,0.010062834717463545
PMSG,WINDINGS,Ia_thd,stator current,0.8056104154730594,0.35490381449262287,1.7469144778653805,0.3888888888888889,0.0,0.021394171849294707
PMSG,WINDINGS,Id_2fe,dq / control,4.1432951973395475,0.8564973804909776,16.081981894686155,0.7222222222222222,0.1111111111111111,2.3346085684592106
PMSG,WINDINGS,Iq_2fe,dq / control,4.538259154218487,1.3814188479580003,21.476594315750567,0.7870370370370371,0.0,0.7348222147594539
PMSG,WINDINGS,Id_1fe,dq / control,0.4603742934911301,0.18562730270801048,0.6833807817191709,0.10185185185185185,0.3333333333333333,-0.025282772654039873
PMSG,WINDINGS,Iq_1fe,dq / control,0.36213553497222223,0.14934845608763797,0.7655254544637524,0.1574074074074074,0.0,-0.0010319440992852442
PMSG,WINDINGS,Id_std,dq / control,0.7707349571950788,0.31612952204663125,3.0270932707628195,0.4444444444444444,0.0,0.041973212386440806
PMSG,WINDINGS,Iq_std,dq / control,2.4489173778065814,0.5614477925815051,13.340531742361367,0.6111111111111112,0.1111111111111111,0.5009683568676819
PMSG,WINDINGS,Vd_2fe,dq / control,4.599702516112678,0.7997936663296168,18.670837890387972,0.7222222222222222,0.0,3.0623480519022825
PMSG,WINDINGS,Vq_2fe,dq / control,22.397580687088812,2.7212845516605593,66.85262145951215,0.8981481481481481,0.0,3.6878094914809516
PMSG,WINDINGS,PId_2fe,dq / control,4.2056138843028705,0.8687548078402962,16.309260696768426,0.7222222222222222,0.1111111111111111,2.3436221882602677
PMSG,WINDINGS,PIq_2fe,dq / control,8.00248752226813,1.751473175148212,39.602335890791444,0.8333333333333334,0.1111111111111111,0.6356422533137462
PMSG,WINDINGS,PId_std,dq / control,1.0388434840954024,0.30242982397636453,3.7570067955633886,0.5,0.2222222222222222,0.2662964185937165
PMSG,WINDINGS,PIq_std,dq / control,4.294549275063692,0.9454421766952619,47.98396687487646,0.7314814814814815,0.1111111111111111,0.10202377258952464
PMSG,WINDINGS,D2_D1,dq / control,32.62948217645253,4.429404832837475,101.05147528632261,0.8981481481481481,0.0,2.941924924808676
PMSG,WINDINGS,V2_V1,dq / control,61.897535214311716,9.572497702023671,188.371888347086,0.9444444444444444,0.1111111111111111,5.318118442322605
PMSG,WINDINGS,Te_2fe,mechanical,0.4253812021417013,0.17921993359721566,0.5947033479290519,0.09259259259259259,0.1111111111111111,0.0187271483240026
PMSG,WINDINGS,Te_1fe,mechanical,0.30442590765589006,0.14296971775513795,0.5292607866992763,0.05555555555555555,0.1111111111111111,-0.014737303009389389
PMSG,WINDINGS,Te_std,mechanical,0.4175301204295867,0.18928287399968902,0.7302741324427034,0.10185185185185185,0.0,0.03986129328094099
PMSG,WINDINGS,Spd_std,mechanical,2.8772086814697344,0.4483706188251094,11.86997703494081,0.6851851851851852,0.4444444444444444,1.2389309080206923
