rid,machine,file,case,ftype,sev_pct,phases,speed_rpm,torque_Nm,torque_pu,zf_ohm,rep,I2_I1__sdr,I0_I1__sdr,I_unbal_rms__sdr,Ia_h3__sdr,Ia_h5__sdr,Ia_h7__sdr,Ia_thd__sdr,Id_2fe__sdr,Iq_2fe__sdr,Id_1fe__sdr,Iq_1fe__sdr,Id_std__sdr,Iq_std__sdr,Vd_2fe__sdr,Vq_2fe__sdr,Vdconv_2fe__sdr,Vqconv_2fe__sdr,D2_D1__sdr,V2_V1__sdr,Te_2fe__sdr,Te_1fe__sdr,Te_std__sdr,Spd_std__sdr,Vdc_std__sdr,If_2fe__sdr,If_std__sdr,I2_I1__delta,I0_I1__delta,I_unbal_rms__delta,Ia_h3__delta,Ia_h5__delta,Ia_h7__delta,Ia_thd__delta,Id_2fe__delta,Iq_2fe__delta,Id_1fe__delta,Iq_1fe__delta,Id_std__delta,Iq_std__delta,Vd_2fe__delta,Vq_2fe__delta,Vdconv_2fe__delta,Vqconv_2fe__delta,D2_D1__delta,V2_V1__delta,Te_2fe__delta,Te_1fe__delta,Te_std__delta,Spd_std__delta,Vdc_std__delta,If_2fe__delta,If_std__delta,is_fault
PMSG/FAULT_TURNS_D01_D04_R026_S1200_T52.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1200_T52.mat,TURNS_D01_D04,TURNS,12.04,AA,1200,5.2,,2.6,,2.2842211709760525,0.06444500699381468,4.960206030773903,1.3722226943054237,1.7713510976971862,4.201286662935896,0.28006458569302023,0.6253662105921223,3.927487230094814,0.6173257622967416,0.31967783837718605,0.03783335552300969,1.1125343145965836,0.4283669076286597,2.97750601792844,0.8206314063450149,4.230108034476427,8.349987377231288,10.573897361750017,0.029344352247396517,0.5593505251736606,0.2874093775342473,1.185083186840513,0.6575644018886092,,,0.3649120296563954,-0.0008689875129060127,-0.299689096520983,-0.22224091119991546,-0.05344215333434986,0.1290299299173053,0.009538895190653865,-0.2777239441025676,0.7863644674565582,0.277128214677867,0.05119788298417656,-0.0028918121836599433,0.20514626145155215,-0.1926209996443239,0.5244543645362204,-0.3518100672345533,0.7024501481875451,0.7781826349983945,0.9999565223406005,0.016163124538545157,-0.25972665362898273,-0.0908730053869704,0.5444663689657299,-0.0019566506299913086,,,True
PMSG/FAULT_TURNS_D01_D04_R026_S1200_T64.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1200_T64.mat,TURNS_D01_D04,TURNS,12.04,AA,1200,6.4,,2.6,,4.5563181528989585,0.7262339704188645,3.91222977066801,0.5323594046699497,0.38488893629699106,2.563278273353626,1.1836766525518287,2.6618366369862083,1.6752676770236774,0.42134160469849286,0.9156206433657668,0.04554462420368535,0.011695938527621736,2.440804783537389,1.9377406099776529,2.477749170215004,0.21428516908771525,4.215197375049024,9.914035988595002,0.15700348761648808,0.5352481202679409,0.2261932521170873,0.013725757129952944,0.9352547330914504,,,0.7278871792542669,-0.009792663251673144,-0.23637175514079597,0.08621927014520046,-0.011612205833738641,0.07872341082725498,0.04031558470835,1.182116585225426,0.33542336295721237,0.1891475357276163,0.14664087693694328,-0.0034812270112369197,-0.0021566778045662436,1.097541030758568,0.3413113236791726,1.0622273232828419,0.035584114531649225,0.3928381268333869,0.9375544901141616,0.0864788870422715,-0.24853503640715244,0.07151771036309747,0.006306066298835014,-0.0027829468223186057,,,True
PMSG/FAULT_TURNS_D01_D04_R026_S1200_T80.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1200_T80.mat,TURNS_D01_D04,TURNS,12.04,AA,1200,8.0,,2.6,,2.4049325559091694,0.7908340693528828,2.4980661622620306,0.5728770535055574,1.208866026664583,2.4975700111071326,0.6356083208123636,0.45169351008630765,1.5501577804642794,0.7815884261228105,0.49725467825794034,0.12735951740745358,0.37435129582338234,1.2380189067276341,4.1995866792833985,0.2996377694892484,3.3832360855480017,4.86086824500545,11.69884958150738,0.9311849747533141,0.9443152846797934,1.1268071495750895,0.6468663620110034,0.4495061068290157,,,0.38419608018454804,-0.010663742050866119,-0.15092985786744473,-0.09278138228215323,-0.03647182291623763,0.07670537845934981,-0.02164858202094252,0.2005962282930585,0.3103737647236107,-0.3508685662792429,-0.07963763443853805,-0.009734790875737425,-0.06902867426211319,0.5566920206618109,0.7397101970362112,0.1284566774010409,0.5618189110720425,0.45301185359786983,1.106341450336699,-0.5129047861908481,-0.43847969711735996,-0.35627352542180873,-0.2971917779621665,-0.0013375517357475885,,,True
PMSG/FAULT_TURNS_D01_D04_R026_S1500_T52.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1500_T52.mat,TURNS_D01_D04,TURNS,12.04,AA,1500,5.2,,2.6,,0.25013792992122513,1.4028091261225017,5.650094916565854,0.2905972102861693,1.8998630971563712,4.619213144863349,0.22032007289515912,0.7062636464133969,2.9251982605414466,0.2194295799716762,0.023255575272219206,0.7155013327941621,0.6395816976940669,1.1613075828607249,7.851486811221992,0.08723333019049553,2.6831501867812433,19.08490054926547,21.810519272699267,0.85010181684682,0.6154082418961042,0.4658674533150166,0.3151874833250216,1.185282105948753,,,0.03996037724429287,-0.018915718539809445,-0.34137127173712,-0.047064218566099,-0.057319395959671414,0.14186528941548388,0.007504019398038866,0.31365034140950865,-0.5856854109491259,-0.09850573466887669,0.0037244878392601113,-0.05468971607185865,-0.11793595258439461,0.522197731714326,1.3829515377802033,0.03739750090250571,-0.44556291020288535,1.7786300178856345,2.0625858428761448,0.4682434773239106,0.2857562764131598,0.14729782290998886,-0.14480754304424706,-0.003526929031834847,,,True
PMSG/FAULT_TURNS_D01_D04_R026_S1500_T64.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1500_T64.mat,TURNS_D01_D04,TURNS,12.04,AA,1500,6.4,,2.6,,2.844934646783221,1.4305680134380199,6.759323895790556,0.34243046810912353,1.1507639814104993,3.273798480257557,1.2993599026791045,3.7968657785395274,1.4512029386882705,1.1592777388417288,0.26065238989706385,0.5874272250814704,0.3757884349576598,4.045056230777354,4.587963432803872,3.30554008655662,3.485877555132563,8.26299323515044,13.862576705913641,0.26956981140719183,0.9579772184538168,0.03905829536186267,0.9673814801583189,0.989872549611777,,,0.45448789696396236,-0.019290024131112516,-0.4083894214987092,0.055458971470884834,-0.03471886811493098,0.10054490977671678,0.04425571300249933,1.6861808671204643,-0.2905609513657018,0.520419832935099,0.0417446846651607,0.04490030511491389,0.06929367617415727,1.8189144887570803,0.8081184159421572,1.4171067194192575,-0.5788635148817385,0.7700751579860942,1.3109616557911261,0.1484813976083981,0.44482342646332995,-0.01234943937903172,0.44444701245886187,-0.002945467762923523,,,True
PMSG/FAULT_TURNS_D01_D04_R026_S1500_T80.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1500_T80.mat,TURNS_D01_D04,TURNS,12.04,AA,1500,8.0,,2.6,,0.4901851296078283,0.5896585071761647,4.051004587832557,0.1133636418072721,1.097271634647889,3.792826024614367,0.1995570083317048,0.25697175195239846,1.582134196686858,0.6444515490088238,0.16330979027722434,0.5676289458408392,0.4342460801589826,1.3128285970588889,4.709354144505685,0.016977692945796635,2.08436933483806,7.565783488351985,15.243761588146196,0.055426107605795916,0.3394623681840252,1.2157237955878875,0.4132044532389938,0.6642709091596598,,,0.07830872632887052,-0.00795105631168707,-0.2447563462883977,-0.018360022142718913,-0.03310498919413539,0.11648528543932651,-0.006796837173562043,0.11412066604556935,-0.31677610699511705,-0.2893054496198918,-0.02615481753514147,-0.04338701335603888,-0.08007299975004283,0.5903312142551222,0.8295000313554711,0.007278448339371919,-0.3461295872827027,0.7050982312676628,1.4415780959074027,-0.0305291823232788,0.1576246395657416,0.3843871622190267,-0.18983977732002172,-0.001976606533381537,,,True
PMSG/FAULT_TURNS_D01_D04_R026_S1800_T52.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1800_T52.mat,TURNS_D01_D04,TURNS,12.04,AA,1800,5.2,,2.6,,2.9548444308498687,2.632023240134864,4.304570280664139,0.01773980654166534,2.2136982221374804,6.5303322530253345,0.7843533873521293,2.245477986130488,2.424734050338575,0.4127511116549264,0.023892262514003563,0.11781301261869252,0.05615552224222484,1.2030238290505568,12.178238523906362,0.26249571638089825,2.793542145699933,24.168237441945326,27.942097347707616,0.38361725484800857,0.03508781717079466,0.7847578810088239,0.9005597654226399,1.4396619266103392,,,-0.4720463553534004,-0.03549065220173134,-0.26007645051833383,0.0028730837834783827,-0.06678788862199536,0.20055958579978334,0.026714783434229675,0.9972125006772881,-0.4854820877857434,-0.1852911147813901,-0.0038264562430377065,0.009005098822842006,0.010354822585431186,0.5409560085545619,2.1450604323780516,0.11253363558196586,-0.4638945573544799,2.2523749852752526,2.642439351812652,-0.21129972176480036,-0.01629254095021487,0.248124496702912,0.4137469090448597,-0.004283862398247349,,,True
PMSG/FAULT_TURNS_D01_D04_R026_S1800_T64.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1800_T64.mat,TURNS_D01_D04,TURNS,12.04,AA,1800,6.4,,2.6,,3.3695251265583344,1.4492837648024588,5.036874379231832,0.130003621090578,0.8621541553829299,3.8947583083119834,0.5562560555976446,2.4096456491926728,2.3084500539813013,0.3576361806663,0.41897523261865166,0.10273084901535953,0.2545211770640179,2.094026162060245,12.924625705628044,0.5134078269898604,2.4974583771794396,19.309760641427395,32.26289392546886,0.02894216277123299,0.7627495746864107,0.06901874172124105,1.493431750442189,1.846670051504826,,,-0.5382929939245866,-0.019542390528278275,-0.30432129686479165,0.02105498133091502,-0.026011429710191793,0.11961583007410356,0.018945873504079735,1.0701190474453997,-0.4621996179743775,-0.16054906875022207,0.06710081950556857,0.007852285812704826,0.04693254603464988,0.9416073124095481,2.2765281818068734,0.22010130338115588,-0.4147269981862446,1.7995860039391811,3.0510501574431905,0.01594159507568574,0.35417217947319446,-0.021822323760082956,0.6861318863439599,-0.0054949570099676525,,,True
PMSG/FAULT_TURNS_D01_D04_R026_S1800_T80.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1800_T80.mat,TURNS_D01_D04,TURNS,12.04,AA,1800,8.0,,2.6,,4.290706273703853,2.2896383671311624,5.093194427003116,0.09804187622255381,0.6127974992662456,2.0879905777460306,0.3694609993818862,0.6164585076036572,2.6417097017400635,2.796002882885886,0.031170574057648393,3.139837991527451,1.3085750034393901,0.8438500744426903,8.546907891078254,0.0632989904702514,3.2099346835326132,12.28457192115812,21.0946292033371,0.08892939041287232,0.10191468765803562,0.1511865771477747,2.504005598463491,4.433334101729754,,,-0.6854547864678368,-0.030873875928021197,-0.30772407975886457,-0.015878556737088913,-0.01848827031595706,0.06412637354440741,0.012583703653274417,0.2737680501560297,-0.5289251170228499,1.2551740660968438,0.004992111468390677,0.23999514801417055,0.2412952717614695,0.3794486501977709,1.5054421787142742,0.02713669245538957,-0.5330405454760238,1.1448688621376006,1.9948852666697678,0.048983082000308445,0.04732267082943472,0.04780212377708606,1.1504228995940973,-0.013191842408435189,,,True
PMSG/FAULT_TURNS_D02_D03_R026_S1200_T52.mat,PMSG,FAULT_TURNS_D02_D03_R026_S1200_T52.mat,TURNS_D02_D03,TURNS,7.689999999999999,BB,1200,5.2,,2.6,,1.4603828471691003,0.794278812611387,0.8373665629659326,0.23964281909906276,0.03896538183701202,0.8952004687097135,0.3874032884532086,0.38997416838989235,0.7282050089069588,0.14656000763572394,0.053873152212351824,0.0016866957184344111,0.3501354961073386,0.054613512305818325,0.984334991598774,0.31299007793248373,1.5954327534190185,4.061450338579457,1.8742190749801575,0.4792204706058407,0.2959771208421189,0.650190108852624,0.9695761312931601,0.17905839942861257,,,-0.2333010811768931,0.010710191559004035,0.05059258167003749,-0.0388118041627711,-0.00117559636458987,0.027493399762166054,-0.013194811317987715,-0.17318678609260324,-0.145801758345754,-0.06579332297448995,-0.00862803426399032,0.0001289234634694034,0.06456339106623504,-0.02455770776661762,-0.17337959332450556,-0.13418089962167593,-0.26493696258544064,-0.3785095693688182,-0.17724189333453103,-0.2639588048330368,0.1374328684561401,-0.2055769013913922,0.4454553076973752,-0.0005328067167884492,,,True
