rid,machine,file,case,ftype,sev_pct,phases,speed_rpm,torque_Nm,I2_I1__sdr,I0_I1__sdr,I_unbal_rms__sdr,Ia_h3__sdr,Ia_h5__sdr,Ia_h7__sdr,Ia_thd__sdr,Id_2fe__sdr,Iq_2fe__sdr,Id_1fe__sdr,Iq_1fe__sdr,Id_std__sdr,Iq_std__sdr,Vd_2fe__sdr,Vq_2fe__sdr,Vdconv_2fe__sdr,Vqconv_2fe__sdr,PId_2fe__sdr,PIq_2fe__sdr,PId_std__sdr,PIq_std__sdr,D2_D1__sdr,V2_V1__sdr,Te_2fe__sdr,Te_1fe__sdr,Te_std__sdr,Tm_2fe__sdr,Tm_1fe__sdr,Tm_std__sdr,Spd_std__sdr,Vdc_std__sdr,I2_I1__delta,I0_I1__delta,I_unbal_rms__delta,Ia_h3__delta,Ia_h5__delta,Ia_h7__delta,Ia_thd__delta,Id_2fe__delta,Iq_2fe__delta,Id_1fe__delta,Iq_1fe__delta,Id_std__delta,Iq_std__delta,Vd_2fe__delta,Vq_2fe__delta,Vdconv_2fe__delta,Vqconv_2fe__delta,PId_2fe__delta,PIq_2fe__delta,PId_std__delta,PIq_std__delta,D2_D1__delta,V2_V1__delta,Te_2fe__delta,Te_1fe__delta,Te_std__delta,Tm_2fe__delta,Tm_1fe__delta,Tm_std__delta,Spd_std__delta,Vdc_std__delta,I2_I1__null,I0_I1__null,I_unbal_rms__null,Ia_h3__null,Ia_h5__null,Ia_h7__null,Ia_thd__null,Id_2fe__null,Iq_2fe__null,Id_1fe__null,Iq_1fe__null,Id_std__null,Iq_std__null,Vd_2fe__null,Vq_2fe__null,Vdconv_2fe__null,Vqconv_2fe__null,PId_2fe__null,PIq_2fe__null,PId_std__null,PIq_std__null,D2_D1__null,V2_V1__null,Te_2fe__null,Te_1fe__null,Te_std__null,Tm_2fe__null,Tm_1fe__null,Tm_std__null,Spd_std__null,Vdc_std__null,is_fault
PMSG/FAULT_TURNS_D01_D04_R026_S1200_T52.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1200_T52.mat,TURNS_D01_D04,TURNS,12.04,AA,1200,5.2,2.4104084004950472,0.1062560080544379,4.965794261058999,0.9442649213727853,1.8016317032631735,4.018912551007573,0.09580040550246928,0.5574237404619887,4.806080666693359,0.2161692447686936,0.24945946333592464,0.060716032059406386,1.386875826902757,0.4067294851413678,3.084947254930882,0.7390285052840138,4.316336854208168,0.5684580374188599,6.442446634478889,0.9012540645650186,0.25158866128585416,9.5954707673767,12.54992943242309,0.05293966785262055,0.6482215222425598,0.3931165101082913,0.3482417321277827,0.42069687310016635,0.33243476925001764,1.1262584668878506,0.6607612185573962,0.390438961975937,-0.0014752737724373372,-0.3170011901339856,-0.20386282988919696,-0.05588193387734388,0.13640680911244807,-0.003258672398175461,-0.31408967470644195,0.886534552004224,0.11265835334440163,0.0413176386264895,0.0052403474448196406,0.2837094099129123,-0.270788652551063,0.5079431536107989,-0.38942786498681775,0.6972527243636958,-0.31677916856852917,0.6470299120419346,0.26398235468077896,0.008314759882304498,0.8651425867919676,1.0782660558830244,-0.034371412892549254,-0.4101531557456494,-0.16099106330642146,-0.17527315851458136,0.26540873561296124,-0.12990779428786206,0.48496879424629774,-0.0018881879576584746,-0.03672554320824595,-0.0031910718770702547,0.04271461840478999,-0.1490164884170649,0.026659582321858367,0.016091899176456523,-0.014917703449624554,0.013873180618864164,-0.07355202627750078,-0.009986440798806492,-0.0662093362668864,0.015721049234026403,-0.20278717865008078,0.010865601210827806,0.08022873117580805,0.005419304171085608,0.0488899787465961,0.015592943765185647,0.03313888474398168,-0.17964185022984497,0.008229269531087456,0.018552022870832397,0.01955416422602754,0.0891182067964063,0.259864019070694,0.12114073622116563,0.11704391487782118,0.23368533405886163,0.1776501740711195,-0.27338524751651216,-0.000620145042127363,True
PMSG/FAULT_TURNS_D01_D04_R026_S1200_T64.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1200_T64.mat,TURNS_D01_D04,TURNS,12.04,AA,1200,6.4,4.6215268746091684,0.7491032003053448,3.6864178336765137,0.36699524368720265,0.49217833795472615,2.3747414227085804,1.2794901544988675,3.628007680281731,1.6653872220924468,0.8022612878986297,0.8973055763364435,0.07535524019203997,0.309934744273649,2.95702153289872,2.2258361134637026,3.515728727552728,0.29853301971368457,3.620979348233793,1.2875936942425212,0.014613464923372857,0.744437745774669,4.583573692716075,11.543340897554941,0.3562526446455128,0.5390195064345117,0.3305442268724402,0.2845595595293375,0.565867391011069,0.23845858339280732,0.26081722113163036,1.0787883748841132,0.7485968582318704,-0.010400657096897132,-0.23532969333235926,0.07923273145123198,-0.015266093113054742,0.08060162937798203,0.04352214615725449,2.044261249418147,0.3071990291555142,0.41810497022057375,0.14861952737659065,0.006503844651899469,-0.06340250634100336,1.9686988667168117,0.36648866948582176,1.8525980019099764,0.04822444779882064,2.0178284971492593,0.12931603193619254,-0.004280365584125066,-0.02460294145135404,0.41326214183779,0.991781884379616,0.23129927405782572,-0.34105709851739635,0.13536614511391085,-0.14322135511870188,-0.3569937367637487,0.09318408139874848,-0.11230833504887834,-0.0030827402715391064,0.08442538007137611,-0.004396877400188505,-0.08262767684451004,0.25372808433707955,-0.001064478503499137,0.011243246006296228,0.00883743966090058,0.1672719140949708,0.16123054692779795,0.08026822427162841,0.02461554601777078,0.012137562708255724,0.1535763203623882,-0.11393364945510835,-0.13198037604153734,0.48448771079455766,-0.07998045370354527,0.17277655554448254,-0.05042422480700219,0.09956817444120039,0.026856981487344916,0.01829815548773503,0.04015729014810902,0.8259220815746523,-0.3102987364670144,0.06146266754169389,0.40681418032508754,-0.0979144532043116,0.17300064268079418,0.3615286503747068,-0.00031226955694498037,True
PMSG/FAULT_TURNS_D01_D04_R026_S1200_T80.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1200_T80.mat,TURNS_D01_D04,TURNS,12.04,AA,1200,8.0,2.465369774478124,0.6885158769188685,2.492043194553669,0.4014586432947289,1.2032053294211074,2.34086618954618,0.7124033251091958,0.4697918804189275,1.6481407123879568,0.8895903274452767,0.4637896501626512,0.11436177841325147,0.3491388701769101,1.2623206949739625,4.3201175253584845,0.3642208490348472,3.571866854463412,0.4750707266738541,4.9342684150784395,0.6607442843759976,1.2801615383224108,5.1963507027654146,12.536868691651867,0.8684286824193913,0.8442564348347914,0.9096819367861749,1.0689368583675298,0.1499496334637586,0.6127178645002418,0.42176573073797274,0.49523539059870414,0.39934162834663034,-0.009559453942639214,-0.15908445195438728,-0.0866732346538484,-0.03732030277764066,0.07945186251817198,-0.024232559765542106,0.26471204613247123,0.30401772034801433,-0.463617206732297,-0.07681686197777847,-0.009870464735023258,-0.07142238758084389,0.8404163764043634,0.7113165764155128,0.1919245964251641,0.5769924775242964,0.2647381159220065,0.4955600627738441,-0.19353569530432746,-0.04230809030625768,0.4685110713017966,1.077143901888922,-0.5638327934785461,-0.5341915211455869,-0.37253755186600684,0.538005420183193,-0.0946000438034333,-0.23943592445991216,-0.18161303457776456,-0.0014151821784824346,0.05881455051503879,0.004913354507033316,0.012711119376172848,0.047419339096845474,0.0054014169486654474,0.0009038316114344314,0.006903564030216738,0.4922027342264327,-0.06928926323868666,-0.15979777580128451,0.024316426281669728,-0.008875973527828776,-0.03646673732192637,0.6835495884363418,0.03425501371920204,0.433869979160079,-0.10119959634713753,0.4933184039709189,-0.07315076572644028,-0.04327595495116391,-0.011942910242462532,-0.01743884583523618,0.08437950562887436,1.7492823593967621,0.9878711207336965,0.4406598919067471,-0.2886210640480459,0.28934892322445865,0.2830446465092374,-0.11790028546022654,-0.0006840531016486305,True
PMSG/FAULT_TURNS_D01_D04_R026_S1500_T52.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1500_T52.mat,TURNS_D01_D04,TURNS,12.04,AA,1500,5.2,0.07682314693289134,1.5954024231440436,5.607271296479943,0.1721136094980772,1.9403811322584745,4.425950683323045,0.3007179882054414,0.6931707864074828,3.467045880717065,0.11561637753465515,0.027471444000767162,0.6402316903253384,0.4445262144526027,0.9782202686720669,8.612007432989168,0.1542658222386526,3.182059093617451,0.707308117023048,5.860732211443753,0.5243317872614849,0.9996037071295935,20.478417705135175,24.69928616120534,0.6615900526879482,0.010958747145505772,0.17373025671349743,0.26743524769803356,0.05273764837290452,0.2623111644063237,0.14290956709743158,1.09483827796773,-0.012443845506862113,-0.02215079781786588,-0.3579511314689885,-0.03715860528177982,-0.060185580623008425,0.15022218133355397,0.01022899018704746,0.3905786047761294,-0.6395348267748293,-0.06025441189210866,-0.004550058677241135,-0.055257835347446264,-0.09093551675409761,0.6512705818703532,1.4179854152904041,0.08128970583042265,-0.5140236842145307,0.39415482319451733,-0.5886069784384816,-0.15357971217813302,-0.03303592761201802,1.8463660300088276,2.1221156673091324,0.42954150996652407,0.006933994892977205,0.07114689420980799,0.13460253679465356,0.03327106396277134,0.10250511660372737,-0.06153710047837814,-0.0031286043944218542,0.18249857670370695,0.003046348125736023,0.034998573797007285,0.0005511198007996629,-0.013188364638046271,-0.002672586224161413,-0.00389549201724407,0.5648695792842189,0.04760497320964316,-0.05012911119923036,-0.013426904610697735,-0.011401710036292652,0.029298819735782626,0.6657741898419247,0.11747396853991982,0.415377574883396,-0.10673133041265559,0.5629993004805938,-0.06010330983532893,-0.01041462563132276,0.002360331800646257,-0.0859549402503108,-0.006215036629083064,0.10455165308242358,0.011427534453948496,-0.0750810901297877,-0.007107471359707406,0.2341698158943334,-0.0988380691305885,0.11602584342637902,-0.00014967715807583925,True
PMSG/FAULT_TURNS_D01_D04_R026_S1500_T64.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1500_T64.mat,TURNS_D01_D04,TURNS,12.04,AA,1500,6.4,2.7323125591970423,1.6193614878490394,6.837658414636036,0.18471129707022232,1.2910171374851513,3.090463093888185,1.1868787111198686,3.8127949280308586,1.7798092312419393,1.6942421088667838,0.26636724662247663,0.6471043150467319,0.6157276256851769,3.6997985100905635,5.061696061473403,3.3081033454898283,4.097455299887865,3.8855290560364857,5.856726160960885,1.0184715223126495,0.2264485313932991,9.747246280342065,16.859785875331276,0.06573405900022611,1.8259340444595926,0.1367277679588409,0.2783395975536492,0.576530222802608,0.22031268676446097,1.3304744420510868,1.0930312260329187,0.4425811323871966,-0.022483448934904837,-0.43649529988925406,0.03987839310867885,-0.040043996883931655,0.10489409858181235,0.040371947024886994,2.1483826965730874,-0.3283054299123205,0.8829680020204284,0.044118052250678316,0.05585100555597901,0.12595772307917558,2.4632181581564816,0.8334190660714439,1.74319070750155,-0.6618950205473219,2.1652515802378614,-0.5882046414633186,0.29831600345144926,0.007483903108401492,0.8788269033911034,1.4485607203383124,0.04267825195446753,1.1553343800243046,0.05599344769606307,0.1400907929811363,0.36372069121670525,0.08609308603841916,0.5729045373749738,-0.003123440571839132,-0.13607975867735098,0.003871755436116215,-0.01404478087682774,0.02596303366036377,0.026555501934203554,0.010839181348069733,0.0221655387751273,-0.4444173515989205,0.0021964352867610967,0.258052758810492,0.008488962690710967,0.00565405893961316,0.0009534952067600787,-0.37722030044977833,-0.034002730206319325,-0.3820098185257705,0.12899404422768848,-0.4464457980469203,0.07438599426780328,-0.09663782418282063,0.001400167444883002,0.049921099896721256,0.06013157213008896,0.40018430870222116,-0.43872072659295674,0.10383370694268412,0.015560332432246343,-0.34783900565235354,0.07857276633350638,0.0646915267985617,-9.577409883240096e-05,True
PMSG/FAULT_TURNS_D01_D04_R026_S1500_T80.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1500_T80.mat,TURNS_D01_D04,TURNS,12.04,AA,1500,8.0,0.21396324427607277,0.5967758964116551,4.019748264557472,0.1174323114704414,1.182198675368621,3.5491209932358165,0.19724925766597798,0.05749674848546535,2.045006505604866,0.5995238235364505,0.15172774901936864,0.5867548012686521,0.35743354010697953,0.9191872129897447,5.218557264368418,0.1623815363084095,2.352676055001226,0.05811743400317026,3.8142133301293404,0.702054078822925,1.066648422767192,8.020862993551424,17.144577039716445,0.240523157594654,0.03748007856091691,0.7959108998215515,0.07871588035503807,0.4450235971204157,0.28011155826226564,0.13615491966798743,0.7386779703453185,0.034657855896534556,-0.008285722794590953,-0.2566084934078589,-0.025353142740905135,-0.03666873095493179,0.12046150885266871,-0.0067094779833698544,0.032397498917987676,-0.3772239901956281,-0.3124466980611745,-0.02513046496516762,-0.05064229198237726,-0.07311920561287913,0.6119680916694479,0.8592465981144392,-0.0855662461538765,-0.38004674896852325,0.0323865460790296,-0.38307032336052615,-0.20563556507272854,-0.03525169007545683,0.7231734978691562,1.4730294352602131,0.15616117545203523,0.023714998610617904,0.3259454608613238,-0.03961840211046521,-0.280755949905858,0.109461097497355,-0.05862853790972703,-0.0021108424783747803,0.007291608436027904,-0.000902013926258225,-0.006740296924249098,-0.025472202646234027,-0.003878473065090887,-0.015827425735776123,-0.019599689980058923,0.005320151846718594,0.014235425331329467,-0.06614279879596335,-0.003259542695336628,0.006167945181650101,-0.06282395868146742,-0.04047514180819525,0.09857894407966654,0.000898761467745083,0.04704188076598843,0.00462450307597397,0.032515358113482336,-0.0305922599241589,-0.002880209468675056,0.020408322686567393,0.031224893804076035,0.1761533248788948,0.11964886206600346,-0.0378618841366661,-0.0008145234333047136,-0.11365263451105358,0.006508826232209698,-0.1589457521050217,0.00014711505208145643,True
PMSG/FAULT_TURNS_D01_D04_R026_S1800_T52.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1800_T52.mat,TURNS_D01_D04,TURNS,12.04,AA,1800,5.2,3.199942525449535,2.853869584155558,4.669550289750733,0.016044756419522264,2.352169933717957,6.047542842363483,0.7729036906700347,2.4487345598477073,2.789822849762411,0.40174302024318176,0.013619711174241813,0.07436160553301509,0.09264666408701758,0.8223576881115661,13.467631007562616,0.03969758086987747,2.98892313156974,2.4707339511081883,5.550489311843674,0.9040001478004939,2.901575662424057,26.590369162686414,32.90425177663143,0.3289191541444854,0.2647456569719517,0.8906108117770848,0.1321289082646134,0.05646709546539357,0.9095080146451554,0.8054774117490057,1.7125157674753677,-0.5183280301224382,-0.03962353776084194,-0.29808987674930426,0.0034639955107210233,-0.07295819920698995,0.2052610032260622,0.026290493344200597,1.379780202234562,-0.5146135743050083,-0.20937162997739325,0.00225581462001584,-0.0064180849164574266,0.018952475692959467,0.5475018124179986,2.217474206313846,0.02091846803305211,-0.48282487368168736,1.3768422561846632,-0.5574485618571838,0.2647866978145878,-0.09589424575053834,2.397429091167881,2.8270706999601134,-0.21355283313906426,-0.1675141335963988,0.36472744820788944,0.06650165372518996,-0.035623893043859566,0.3554146286690751,0.3468399311997731,-0.004893676503150239,-0.00852950663533615,-0.014842029725495197,-0.030291676990352852,-0.005662297106169133,-0.007091772562528941,-0.022672686987874016,-0.007023051578893628,0.526061706034336,0.021346906647726677,0.2474028988322203,0.03218283644625246,0.07943084786016548,0.014762182514562548,0.5339269425545737,0.08415210743163345,0.3088941255735648,-0.02307574672345162,0.5166006146260652,-0.009253454171478305,0.22906175629239084,0.007472129870781214,-0.045713797082794654,0.03883298130302004,0.12413459149603716,-0.2288293718323165,-0.15140383307257718,-0.10171198532136586,-0.16428317817398566,-0.1474831269014844,0.056574571443084753,0.0005852536868449042,True
PMSG/FAULT_TURNS_D01_D04_R026_S1800_T64.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1800_T64.mat,TURNS_D01_D04,TURNS,12.04,AA,1800,6.4,3.800790000297011,1.6874266342389226,5.218388545230689,0.09872242525715806,1.0846450958089902,3.4579455133280845,0.4903508011747239,3.952105754636261,2.6411756251625373,0.4884746368488689,0.4334408401438035,0.2512542720617417,0.8562088662889246,2.9649150663673005,14.352844167138004,0.9513096150784218,2.7382865910558545,4.028578461069108,5.285490331861714,1.609807703825571,2.2769635811971596,20.535357500616048,35.77676922300323,0.10896967481050841,0.41131715409209474,0.2193757372100266,0.21095371695567494,0.08632717853284755,0.3360275902215844,2.0310128214364087,1.9121021638761262,-0.6156535556794893,-0.02342847526447161,-0.3331260403581251,0.02131375690329549,-0.0336428724109377,0.11736690151158789,0.016679393086390538,2.2268796981096775,-0.487193955325124,-0.25457251468303177,0.07179022899968149,0.02168553572984657,0.17515231537312445,1.973954151543484,2.363226443462736,0.5012884749270238,-0.44233753068666115,2.244967352744508,-0.530834097440623,0.47152167734659306,-0.07525142564710255,1.8514998106380396,3.073871932909873,0.07074924791945793,0.2602552105637504,-0.08983986245539113,0.10617488043519388,-0.05446198621491104,-0.13131178535877314,0.8745575443552848,-0.005464013592574363,-0.031244615310019295,-0.004250307480418364,-0.004333246904562293,-0.026597612822374023,-0.024696355952656932,0.005555893681960371,-0.025437264239799782,-0.16741901344598464,-0.012630526961407847,-0.2794888808349643,0.029248039623906343,-0.058614106806173856,-0.08840702916061656,-0.15552003942592854,0.10080042922873995,0.02144757156619853,-0.029618820363755273,-0.17040076729215803,-0.017854793744514503,-0.17609267792080377,-0.007776744986185646,0.06391051584780515,0.10961353091350816,0.5898673227116032,0.13414856248618454,0.37436213432826054,0.027211812261258368,0.23351829822907982,0.296898610376301,-0.16248003654497647,0.0012742749315479923,True
PMSG/FAULT_TURNS_D01_D04_R026_S1800_T80.mat,PMSG,FAULT_TURNS_D01_D04_R026_S1800_T80.mat,TURNS_D01_D04,TURNS,12.04,AA,1800,8.0,4.7178164948006795,2.2789955965908493,5.080415610871567,0.06719561890637267,0.5603445315594272,1.9697082229002465,0.10543648733204469,0.29164517638801213,3.0377987466792646,3.03541429598139,1.1047025546710803,3.5644111392756725,2.031130437111669,0.37921794027661887,9.719664099805984,0.21530531787008841,3.5233438426168036,0.28455801811413567,6.23031796350962,3.5289830405524945,0.8516341689037705,12.770746534669078,23.16594611977993,0.1162309852921611,0.013681886029144977,0.12850757225461884,0.19749169390521,0.20319127883748067,0.25942860521545263,3.0333923721645872,4.823016418946021,-0.764193891227984,-0.03164190423404711,-0.3243182682075341,-0.014507251848870776,-0.01738043130814127,0.06685430701919917,0.003586445894747854,0.16433232374619341,-0.560355461702891,1.5819307536982434,-0.18297041264053063,0.30764119743059104,0.4155028205055824,0.25247226675736,1.6003634509477964,-0.11345420326680648,-0.569154163846022,0.15857292263295858,-0.6257253358294969,1.033658864133062,-0.028145678687622747,1.1514303946223903,1.9903740087047568,0.07546369949857802,-0.00865702316083587,0.052627071537898064,-0.09939932460035988,-0.12818906878586703,0.10137867935639891,1.3061838684947835,-0.013782227627894491,-0.020978275902093925,0.0011257834357056337,-0.013487598843463984,0.011173356109098618,0.0038872568402466617,0.007979668883952313,0.00468753110651629,-0.1628255968429853,0.015984321387309656,-0.2985947952605112,0.0076171565763258715,-0.11019152779191572,-0.12058869891198795,-0.18445797219385923,-0.03509046333349412,-0.03072210029125881,0.0032705670106539944,-0.16019256052766112,0.006778191768995936,-0.2442616179204125,-0.005820875675242187,-0.006623310139569957,0.030845149752145324,0.2741839031695724,0.610245031300654,0.40975220200893164,0.31121389544997535,0.2950783128286994,0.3126209019801108,-0.32185598380198177,-0.0006746152645174659,True
PMSG/FAULT_TURNS_D02_D03_R026_S1200_T52.mat,PMSG,FAULT_TURNS_D02_D03_R026_S1200_T52.mat,TURNS_D02_D03,TURNS,7.689999999999999,BB,1200,5.2,1.5596197199740756,0.7803332603424202,0.7932935949701756,0.30191582842629267,0.12544225047436405,0.9105431503000286,0.6293289293153792,0.4481205890698486,0.9044467389060351,0.43007860594996267,0.19659625380474868,0.10360023891994193,0.8979257483004403,0.06258237631514256,0.9159939215891658,0.4480368737963041,1.5700483649595043,0.46130206908987853,2.399792385041651,0.6463449482358781,0.7194766072098254,3.9057197111114093,1.3231702251489226,0.27837126554195957,0.3904337890297778,0.44521563291629207,0.7972839891867455,0.46794851549226507,0.5145391149233954,1.2632762222851646,0.11656273821697254,-0.25262785527084,0.010834259763964545,0.050641448378810676,-0.06518235907974204,-0.003890892646780673,0.03090494856885705,-0.021406765457589662,-0.2525009966987687,-0.16683516988061858,-0.22413895004732678,-0.032561975646872326,0.008941645705299567,0.18368622428501694,-0.04166552456832789,-0.15082035534858704,-0.23609108708304813,-0.25362258248762354,-0.2570653879198466,-0.2410167353971416,0.18931804923807266,0.02377800016626253,-0.35214577127820124,-0.11368426791685272,-0.18073429799372148,0.24704155166938768,-0.18232695982188804,-0.401280117015354,0.2952187947429628,-0.20106994718189672,0.5439688706754557,-0.0003330890984999095,-0.022440303714991887,0.002274636282049465,0.09138216207127081,-0.06704370990126521,-0.015972911716382134,-0.0203337451085058,-0.020246967720739608,0.026583166746084283,-0.08294235701294267,-0.19953348441352287,0.007821189625360693,-0.013524396426473328,0.03685717027942879,0.21691720895410335,-0.02175559367556586,-0.0019030751173674664,0.03072359343057965,0.0261260946330896,0.013826709875516522,0.008163154509456249,-0.024301165420042077,-0.0229430505239441,-0.06915905505427541,-0.21911380420291485,-0.0650410565801215,0.015118790974743836,0.28141548546580103,-0.256109798504713,0.1586624909456616,0.07845498811176896,0.0009003475673501518,True
